datetime,target,configuration,data_set,schema,world_size,com_interval,runtime_ms,runtime_vi_ms,rss_max_rank0_kb,rss_sum_all_kb,rss_min_all_kb,rss_max_all_kb,steps_total,eps_global,jdiff_maxnorm,jdiff_l2norm,jdiff_mse
2022-01-23_23:14:28,hpcclassa,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,4,2,9208,7910,44448,129984,25960,44448,286,0.000000,0.000977,0.002882,0.000000
2022-01-23_23:14:39,hpcclassa,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,4,2,8103,7391,43980,129736,25912,43980,286,0.000000,0.000977,0.002882,0.000000
2022-01-23_23:14:48,hpcclassa,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,4,2,8345,7852,44452,130048,25856,44452,286,0.000000,0.000977,0.002882,0.000000
2022-01-23_23:14:57,hpcclassa,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,4,2,7623,7092,43980,129956,25860,43980,286,0.000000,0.000977,0.002882,0.000000
2022-01-23_23:15:06,hpcclassa,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,4,2,7323,6798,43972,129624,25864,43972,286,0.000000,0.000977,0.002882,0.000000
2022-01-23_23:15:15,hpcclassa,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,4,2,7904,7583,33168,131356,32556,33168,286,0.000000,0.000977,0.002882,0.000000
2022-01-23_23:15:24,hpcclassa,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,4,2,7958,7626,33096,131052,32532,33096,286,0.000000,0.000977,0.002882,0.000000
2022-01-23_23:15:33,hpcclassa,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,4,2,7663,7335,33092,131944,32904,33092,286,0.000000,0.000977,0.002882,0.000000
2022-01-23_23:15:41,hpcclassa,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,4,2,7712,7405,33052,131456,32700,33052,286,0.000000,0.000977,0.002882,0.000000
2022-01-23_23:15:50,hpcclassa,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,4,2,7927,7606,33172,131604,32744,33172,286,0.000000,0.000977,0.002882,0.000000
2022-01-23_23:15:59,hpcclassa,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,4,4,7173,6822,33056,130748,32396,33056,340,0.000000,0.001953,0.014451,0.000000
2022-01-23_23:16:08,hpcclassa,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,4,4,7124,6792,33064,130844,32564,33064,340,0.000000,0.001953,0.014451,0.000000
2022-01-23_23:16:16,hpcclassa,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,4,4,7340,7024,32916,130576,32500,32916,340,0.000000,0.001953,0.014451,0.000000
2022-01-23_23:16:24,hpcclassa,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,4,4,7282,6940,32904,130652,32520,32904,340,0.000000,0.001953,0.014451,0.000000
2022-01-23_23:16:33,hpcclassa,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,4,4,7145,6794,32836,130572,32392,32836,340,0.000000,0.001953,0.014451,0.000000
2022-01-23_23:16:42,hpcclassa,../automation/jobs/gen/ds/small/13_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,4,4,7265,6761,44036,129700,25872,44036,340,0.000000,0.001953,0.014451,0.000000
2022-01-23_23:16:50,hpcclassa,../automation/jobs/gen/ds/small/13_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,4,4,8143,7572,44548,130268,25868,44548,340,0.000000,0.001953,0.014451,0.000000
2022-01-23_23:16:59,hpcclassa,../automation/jobs/gen/ds/small/13_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,4,4,7549,7012,44344,130036,25876,44344,340,0.000000,0.001953,0.014451,0.000000
