datetime,target,configuration,data_set,schema,world_size,com_interval,runtime_ms,runtime_vi_ms,rss_max_rank0_kb,rss_sum_all_kb,rss_min_all_kb,rss_max_all_kb,steps_total,eps_global,jdiff_maxnorm,jdiff_l2norm,jdiff_mse
2022-01-24_02:00:04,hpcclassa,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,4,2,6734,6170,44324,130004,26064,44324,286,0.000000,0.000977,0.002882,0.000000
2022-01-24_02:00:11,hpcclassa,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,4,2,6700,6266,44180,130080,26016,44180,286,0.000000,0.000977,0.002882,0.000000
2022-01-24_02:00:18,hpcclassa,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,4,2,6603,6165,44292,130344,25992,44292,286,0.000000,0.000977,0.002882,0.000000
2022-01-24_02:00:26,hpcclassa,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,4,2,6587,6152,43948,129664,25992,43948,286,0.000000,0.000977,0.002882,0.000000
2022-01-24_02:00:33,hpcclassa,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,4,2,6709,6272,43984,129648,25932,43984,286,0.000000,0.000977,0.002882,0.000000
2022-01-24_02:00:41,hpcclassa,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,4,2,6969,6689,32864,130788,32516,32864,286,0.000000,0.000977,0.002882,0.000000
2022-01-24_02:00:48,hpcclassa,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,4,2,6825,6545,32828,131124,32724,32840,286,0.000000,0.000977,0.002882,0.000000
2022-01-24_02:00:56,hpcclassa,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,4,2,6844,6566,32864,131228,32724,32868,286,0.000000,0.000977,0.002882,0.000000
2022-01-24_02:01:04,hpcclassa,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,4,2,6842,6561,32852,130956,32660,32852,286,0.000000,0.000977,0.002882,0.000000
2022-01-24_02:01:11,hpcclassa,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,4,2,6930,6649,32976,130808,32532,32976,286,0.000000,0.000977,0.002882,0.000000
2022-01-24_02:01:19,hpcclassa,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,4,4,6607,6327,32816,130616,32540,32816,340,0.000000,0.001953,0.014451,0.000000
2022-01-24_02:01:26,hpcclassa,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,4,4,6604,6321,32840,130756,32576,32840,340,0.000000,0.001953,0.014451,0.000000
2022-01-24_02:01:34,hpcclassa,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,4,4,6584,6298,32884,131024,32640,32884,340,0.000000,0.001953,0.014451,0.000000
2022-01-24_02:01:41,hpcclassa,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,4,4,6714,6431,32980,130956,32524,32980,340,0.000000,0.001953,0.014451,0.000000
2022-01-24_02:01:48,hpcclassa,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,4,4,6594,6315,32824,130876,32604,32824,340,0.000000,0.001953,0.014451,0.000000
2022-01-24_02:01:56,hpcclassa,../automation/jobs/gen/ds/small/13_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,4,4,6872,6443,44208,129672,25788,44208,340,0.000000,0.001953,0.014451,0.000000
2022-01-24_02:02:03,hpcclassa,../automation/jobs/gen/ds/small/13_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,4,4,6892,6459,44212,130012,26104,44212,340,0.000000,0.001953,0.014451,0.000000
2022-01-24_02:02:11,hpcclassa,../automation/jobs/gen/ds/small/13_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,4,4,6844,6410,44168,129592,25724,44168,340,0.000000,0.001953,0.014451,0.000000
2022-01-24_02:02:19,hpcclassa,../automation/jobs/gen/ds/small/13_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,4,4,6890,6454,44516,130224,25872,44516,340,0.000000,0.001953,0.014451,0.000000
2022-01-24_02:02:26,hpcclassa,../automation/jobs/gen/ds/small/13_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,4,4,6842,6405,43984,130080,26152,43984,340,0.000000,0.001953,0.014451,0.000000
2022-01-24_02:02:34,hpcclassa,../automation/jobs/gen/ds/small/14_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,4,4,6956,6668,32976,131104,32580,32976,340,0.000000,0.001953,0.014451,0.000000
2022-01-24_02:02:42,hpcclassa,../automation/jobs/gen/ds/small/14_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,4,4,6839,6552,33080,130908,32504,33080,340,0.000000,0.001953,0.014451,0.000000
2022-01-24_02:02:49,hpcclassa,../automation/jobs/gen/ds/small/14_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,4,4,6831,6549,32828,131080,32668,32900,340,0.000000,0.001953,0.014451,0.000000
2022-01-24_02:02:57,hpcclassa,../automation/jobs/gen/ds/small/14_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,4,4,6846,6566,33012,130656,32420,33012,340,0.000000,0.001953,0.014451,0.000000
2022-01-24_02:03:04,hpcclassa,../automation/jobs/gen/ds/small/14_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,4,4,6847,6567,32868,130736,32552,32868,340,0.000000,0.001953,0.014451,0.000000
2022-01-24_02:03:12,hpcclassa,../automation/jobs/gen/ds/small/15_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,4,8,7983,7704,33056,130896,32520,33056,496,0.000000,0.002930,0.033071,0.000000
2022-01-24_02:03:21,hpcclassa,../automation/jobs/gen/ds/small/15_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,4,8,8029,7748,33068,130944,32576,33068,496,0.000000,0.002930,0.033071,0.000000
2022-01-24_02:03:30,hpcclassa,../automation/jobs/gen/ds/small/15_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,4,8,7883,7600,32828,130792,32476,32828,496,0.000000,0.002930,0.033071,0.000000
2022-01-24_02:03:38,hpcclassa,../automation/jobs/gen/ds/small/15_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,4,8,7880,7599,32804,130736,32540,32804,496,0.000000,0.002930,0.033071,0.000000
2022-01-24_02:03:47,hpcclassa,../automation/jobs/gen/ds/small/15_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,4,8,8027,7745,32816,130344,32368,32816,496,0.000000,0.002930,0.033071,0.000000
2022-01-24_02:03:56,hpcclassa,../automation/jobs/gen/ds/small/16_MpiViSchema02_8.yaml,/data/data_small/,MpiViSchema02,4,8,8048,7614,44296,129948,25920,44296,496,0.000000,0.002930,0.033071,0.000000
2022-01-24_02:04:04,hpcclassa,../automation/jobs/gen/ds/small/16_MpiViSchema02_8.yaml,/data/data_small/,MpiViSchema02,4,8,8036,7610,44044,129784,26140,44044,496,0.000000,0.002930,0.033071,0.000000
2022-01-24_02:04:13,hpcclassa,../automation/jobs/gen/ds/small/16_MpiViSchema02_8.yaml,/data/data_small/,MpiViSchema02,4,8,8170,7742,44416,130340,25936,44416,496,0.000000,0.002930,0.033071,0.000000
2022-01-24_02:04:22,hpcclassa,../automation/jobs/gen/ds/small/16_MpiViSchema02_8.yaml,/data/data_small/,MpiViSchema02,4,8,8175,7738,44504,130264,25944,44504,496,0.000000,0.002930,0.033071,0.000000
2022-01-24_02:04:31,hpcclassa,../automation/jobs/gen/ds/small/16_MpiViSchema02_8.yaml,/data/data_small/,MpiViSchema02,4,8,8176,7748,44432,130264,25732,44432,496,0.000000,0.002930,0.033071,0.000000
