datetime,target,configuration,data_set,schema,world_size,com_interval,runtime_ms,runtime_vi_ms,rss_max_rank0_kb,rss_sum_all_kb,rss_min_all_kb,rss_max_all_kb,steps_total,eps_global,jdiff_maxnorm,jdiff_l2norm,jdiff_mse
2022-01-23_21:43:11,hpcclassb,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,10,2,5006,4471,43884,280100,23916,43884,316,0.000000,0.087891,0.976927,0.000010
2022-01-23_21:43:17,hpcclassb,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,10,2,4974,4644,34268,330052,32736,34268,316,0.000000,0.087891,0.976927,0.000010
2022-01-23_21:43:23,hpcclassb,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,10,4,4960,4690,33600,328060,32680,33600,528,0.000000,0.091309,0.887874,0.000008
2022-01-23_21:43:29,hpcclassb,../automation/jobs/gen/ds/small/13_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,10,4,5313,4730,43744,280048,24020,43744,528,0.000000,0.091309,0.887874,0.000008
2022-01-23_21:43:35,hpcclassb,../automation/jobs/gen/ds/small/14_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,10,4,5155,4877,33928,329232,32636,33928,528,0.000000,0.091309,0.887874,0.000008
2022-01-23_21:43:42,hpcclassb,../automation/jobs/gen/ds/small/15_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,10,8,6945,6656,33708,327332,32436,33708,1016,0.000000,0.056152,0.609761,0.000004
2022-01-23_21:43:49,hpcclassb,../automation/jobs/gen/ds/small/16_MpiViSchema02_8.yaml,/data/data_small/,MpiViSchema02,10,8,7066,6579,43948,280280,23952,43948,1016,0.000000,0.056152,0.609761,0.000004
2022-01-23_21:43:58,hpcclassb,../automation/jobs/gen/ds/small/17_MpiViSchema03_8.yaml,/data/data_small/,MpiViSchema03,10,8,6865,6592,34020,329264,32568,34020,1016,0.000000,0.056152,0.609761,0.000004
2022-01-23_21:44:06,hpcclassb,../automation/jobs/gen/ds/small/18_MpiViSchema01_16.yaml,/data/data_small/,MpiViSchema01,10,16,9300,9018,33732,327644,32532,33732,1888,0.000000,0.092773,1.101866,0.000012
2022-01-23_21:44:16,hpcclassb,../automation/jobs/gen/ds/small/19_MpiViSchema02_16.yaml,/data/data_small/,MpiViSchema02,10,16,9855,9153,43712,280476,23992,43712,1888,0.000000,0.092773,1.101866,0.000012
2022-01-23_21:44:27,hpcclassb,../automation/jobs/gen/ds/small/20_MpiViSchema03_16.yaml,/data/data_small/,MpiViSchema03,10,16,9269,8944,34000,329012,32512,34000,1888,0.000000,0.092773,1.101866,0.000012
2022-01-23_21:44:37,hpcclassb,../automation/jobs/gen/ds/small/21_MpiViSchema01_32.yaml,/data/data_small/,MpiViSchema01,10,32,15305,15033,33496,328188,32596,33496,3936,0.000000,0.047852,0.563049,0.000003
2022-01-23_21:44:53,hpcclassb,../automation/jobs/gen/ds/small/22_MpiViSchema02_32.yaml,/data/data_small/,MpiViSchema02,10,32,15538,15014,43520,279428,23988,43520,3936,0.000000,0.047852,0.563049,0.000003
2022-01-23_21:45:10,hpcclassb,../automation/jobs/gen/ds/small/23_MpiViSchema03_32.yaml,/data/data_small/,MpiViSchema03,10,32,15896,15629,34316,330004,32664,34316,3936,0.000000,0.047852,0.563049,0.000003
