datetime,target,configuration,data_set,schema,world_size,com_interval,runtime_ms,runtime_vi_ms,rss_max_rank0_kb,rss_sum_all_kb,rss_min_all_kb,rss_max_all_kb,steps_total,eps_global,jdiff_maxnorm,jdiff_l2norm,jdiff_mse
2022-01-23_17:40:13,hpcclassb,../automation/jobs/gen/ds/debug/0_MpiViSchema01_1.yaml,/data/data_debug/,MpiViSchema01,20,1,4612,3673,13724,277544,13632,14108,5000,0.000000,225742.718750,728211.312500,4242333440.000000
2022-01-23_17:40:18,hpcclassb,../automation/jobs/gen/ds/debug/1_MpiViSchema02_1.yaml,/data/data_debug/,MpiViSchema02,20,1,4219,3926,13928,279292,13632,14204,5000,0.000000,0.283127,0.852493,0.005814
2022-01-23_17:40:24,hpcclassb,../automation/jobs/gen/ds/debug/2_MpiViSchema03_1.yaml,/data/data_debug/,MpiViSchema03,20,1,4064,3768,14064,278556,13660,14168,5000,0.000000,25729.050781,87640.414062,61446736.000000
2022-01-23_17:40:28,hpcclassb,../automation/jobs/gen/ds/debug/3_MpiViSchema01_8.yaml,/data/data_debug/,MpiViSchema01,20,8,733,466,14144,279640,13824,14200,5000,0.000000,356712963918849513566052913512448.000000,inf,inf
2022-01-23_17:40:30,hpcclassb,../automation/jobs/gen/ds/debug/4_MpiViSchema02_8.yaml,/data/data_debug/,MpiViSchema02,20,8,859,566,13872,277992,13436,14160,5000,0.000000,62190997868318820135681454413709312.000000,inf,inf
2022-01-23_17:40:31,hpcclassb,../automation/jobs/gen/ds/debug/5_MpiViSchema03_8.yaml,/data/data_debug/,MpiViSchema03,20,8,706,439,14108,278900,13480,14108,5000,0.000000,9384258197597395179536384.000000,inf,inf
2022-01-23_17:40:33,hpcclassb,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,10,2,3877,3372,43740,279848,24068,43740,316,0.000000,0.087891,0.976927,0.000010
2022-01-23_17:40:38,hpcclassb,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,10,2,3936,3662,34020,328000,32416,34020,316,0.000000,0.087891,0.976927,0.000010
2022-01-23_17:40:42,hpcclassb,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,10,4,4091,3818,33704,327716,32520,33704,528,0.000000,0.091309,0.887874,0.000008
2022-01-23_17:40:47,hpcclassb,../automation/jobs/gen/ds/small/13_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,10,4,4247,3792,43620,280968,24248,43620,528,0.000000,0.091309,0.887874,0.000008
2022-01-23_17:40:52,hpcclassb,../automation/jobs/gen/ds/small/14_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,10,4,4268,3994,33544,326872,32500,33544,528,0.000000,0.091309,0.887874,0.000008
2022-01-23_17:40:57,hpcclassb,../automation/jobs/gen/ds/small/15_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,10,8,5444,5171,33904,327696,32336,33904,1016,0.000000,0.056152,0.609761,0.000004
2022-01-23_17:41:04,hpcclassb,../automation/jobs/gen/ds/small/16_MpiViSchema02_8.yaml,/data/data_small/,MpiViSchema02,10,8,5602,5154,43808,280528,24012,43808,1016,0.000000,0.056152,0.609761,0.000004
2022-01-23_17:41:10,hpcclassb,../automation/jobs/gen/ds/small/17_MpiViSchema03_8.yaml,/data/data_small/,MpiViSchema03,10,8,5637,5363,33704,327492,32480,33704,1016,0.000000,0.056152,0.609761,0.000004
2022-01-23_17:41:16,hpcclassb,../automation/jobs/gen/ds/small/18_MpiViSchema01_16.yaml,/data/data_small/,MpiViSchema01,10,16,7658,7382,33868,327788,32480,33868,1888,0.000000,0.092773,1.101866,0.000012
2022-01-23_17:41:25,hpcclassb,../automation/jobs/gen/ds/small/19_MpiViSchema02_16.yaml,/data/data_small/,MpiViSchema02,10,16,7812,7369,43576,280292,24012,43576,1888,0.000000,0.092773,1.101866,0.000012
2022-01-23_17:41:33,hpcclassb,../automation/jobs/gen/ds/small/20_MpiViSchema03_16.yaml,/data/data_small/,MpiViSchema03,10,16,7833,7558,33748,327748,32532,33748,1888,0.000000,0.092773,1.101866,0.000012
2022-01-23_17:41:42,hpcclassb,../automation/jobs/gen/ds/small/21_MpiViSchema01_32.yaml,/data/data_small/,MpiViSchema01,10,32,12953,12679,33496,327164,32484,33496,3936,0.000000,0.047852,0.563049,0.000003
2022-01-23_17:41:56,hpcclassb,../automation/jobs/gen/ds/small/22_MpiViSchema02_32.yaml,/data/data_small/,MpiViSchema02,10,32,13107,12667,43464,279524,24100,43464,3936,0.000000,0.047852,0.563049,0.000003
2022-01-23_17:42:10,hpcclassb,../automation/jobs/gen/ds/small/23_MpiViSchema03_32.yaml,/data/data_small/,MpiViSchema03,10,32,13111,12838,34384,327920,32428,34384,3936,0.000000,0.047852,0.563049,0.000003
2022-01-23_17:42:24,hpcclassb,../automation/jobs/gen/ds/small/24_MpiViSchema01_64.yaml,/data/data_small/,MpiViSchema01,10,64,15043,14768,33448,327036,32420,33448,5000,0.004395,5.789062,89.884140,0.080792
2022-01-23_17:42:40,hpcclassb,../automation/jobs/gen/ds/small/25_MpiViSchema02_64.yaml,/data/data_small/,MpiViSchema02,10,64,15211,14760,43560,280440,24060,43560,5000,0.004395,5.789062,89.884140,0.080792
2022-01-23_17:42:56,hpcclassb,../automation/jobs/gen/ds/small/26_MpiViSchema03_64.yaml,/data/data_small/,MpiViSchema03,10,64,15123,14851,33520,326876,32436,33520,5000,0.004395,5.789062,89.884140,0.080792
2022-01-23_17:43:11,hpcclassb,../automation/jobs/gen/ds/small/6_MpiViSchema01_1.yaml,/data/data_small/,MpiViSchema01,10,1,4452,4173,33520,326752,32396,33520,265,0.000000,0.037109,0.996403,0.000010
2022-01-23_17:43:17,hpcclassb,../automation/jobs/gen/ds/small/7_MpiViSchema02_1.yaml,/data/data_small/,MpiViSchema02,10,1,4599,4155,44060,280672,24060,44060,265,0.000000,0.037109,0.996403,0.000010
2022-01-23_17:43:22,hpcclassb,../automation/jobs/gen/ds/small/8_MpiViSchema03_1.yaml,/data/data_small/,MpiViSchema03,10,1,4946,4672,33780,327664,32480,33780,265,0.000000,0.037109,0.996403,0.000010
2022-01-23_17:43:28,hpcclassb,../automation/jobs/gen/ds/small/9_MpiViSchema01_2.yaml,/data/data_small/,MpiViSchema01,10,2,3684,3408,33852,327832,32512,33852,316,0.000000,0.087891,0.976927,0.000010
2022-01-23_17:43:32,hpcclassb,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,20,2,3250,2783,43888,535684,23880,43888,316,0.000000,0.087891,0.976927,0.000010
2022-01-23_17:43:36,hpcclassb,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,20,2,2765,2485,34452,658388,32568,34452,316,0.000000,0.087891,0.976927,0.000010
2022-01-23_17:43:40,hpcclassb,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,20,4,3000,2715,34280,659332,32692,34280,528,0.000000,0.091309,0.887874,0.000008
2022-01-23_17:43:44,hpcclassb,../automation/jobs/gen/ds/small/13_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,20,4,3822,3362,44060,535136,24036,44060,528,0.000000,0.091309,0.887874,0.000008
2022-01-23_17:43:48,hpcclassb,../automation/jobs/gen/ds/small/14_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,20,4,2877,2585,34300,657648,32608,34300,528,0.000000,0.091309,0.887874,0.000008
2022-01-23_17:43:52,hpcclassb,../automation/jobs/gen/ds/small/15_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,20,8,3194,2910,34300,660912,32752,34300,1016,0.000000,0.056152,0.609761,0.000004
