datetime,target,configuration,data_set,schema,world_size,com_interval,runtime_ms,runtime_vi_ms,rss_max_rank0_kb,rss_sum_all_kb,rss_min_all_kb,rss_max_all_kb,steps_total,eps_global,jdiff_maxnorm,jdiff_l2norm,jdiff_mse
2022-01-23_19:46:00,rpi,../automation/jobs/gen/ds/small/10_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,8,4,11591,11248,42896,221596,23080,42896,480,0.000000,0.021973,0.259605,0.000001
2022-01-23_19:49:29,rpi,../automation/jobs/gen/ds/small/11_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,8,4,12041,11872,32864,254232,31388,32864,480,0.000000,0.021973,0.259605,0.000001
2022-01-23_19:52:57,rpi,../automation/jobs/gen/ds/small/12_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,8,8,15757,15587,32340,253448,31376,32340,888,0.000000,0.019531,0.249481,0.000001
2022-01-23_19:56:31,rpi,../automation/jobs/gen/ds/small/13_MpiViSchema02_8.yaml,/data/data_small/,MpiViSchema02,8,8,15671,15320,42884,221156,23132,42884,888,0.000000,0.019531,0.249481,0.000001
2022-01-23_20:00:02,rpi,../automation/jobs/gen/ds/small/14_MpiViSchema03_8.yaml,/data/data_small/,MpiViSchema03,8,8,15933,15762,32888,254404,31428,32888,888,0.000000,0.019531,0.249481,0.000001
2022-01-23_20:03:31,rpi,../automation/jobs/gen/ds/small/15_MpiViSchema01_16.yaml,/data/data_small/,MpiViSchema01,8,16,24503,24329,32356,253908,31596,32356,1728,0.000000,0.015137,0.240611,0.000001
2022-01-23_20:07:13,rpi,../automation/jobs/gen/ds/small/16_MpiViSchema02_16.yaml,/data/data_small/,MpiViSchema02,8,16,25051,24701,42768,221252,23192,42768,1728,0.000000,0.015137,0.240611,0.000001
2022-01-23_20:10:54,rpi,../automation/jobs/gen/ds/small/17_MpiViSchema03_16.yaml,/data/data_small/,MpiViSchema03,8,16,25521,25351,32944,254772,31544,32944,1728,0.000000,0.015137,0.240611,0.000001
2022-01-23_20:14:37,rpi,../automation/jobs/gen/ds/small/18_MpiViSchema01_32.yaml,/data/data_small/,MpiViSchema01,8,32,41847,41687,32672,253808,31432,32672,3456,0.000000,0.012695,0.225885,0.000001
2022-01-23_20:20:03,rpi,../automation/jobs/gen/ds/small/19_MpiViSchema02_32.yaml,/data/data_small/,MpiViSchema02,8,32,42572,42217,42988,221768,23252,42988,3456,0.000000,0.012695,0.225885,0.000001
2022-01-23_20:24:04,rpi,../automation/jobs/gen/ds/small/20_MpiViSchema03_32.yaml,/data/data_small/,MpiViSchema03,8,32,43359,43189,32804,254948,31548,32804,3456,0.000000,0.012695,0.225885,0.000001
2022-01-23_20:28:05,rpi,../automation/jobs/gen/ds/small/21_MpiViSchema01_64.yaml,/data/data_small/,MpiViSchema01,8,64,56441,56279,31908,252944,31416,31908,5000,0.001953,1.006348,10.552239,0.001113
2022-01-23_20:32:19,rpi,../automation/jobs/gen/ds/small/22_MpiViSchema02_64.yaml,/data/data_small/,MpiViSchema02,8,64,57131,56796,42880,220788,23248,42880,5000,0.001953,1.006348,10.552239,0.001113
