datetime,target,configuration,data_set,schema,world_size,com_interval,runtime_ms,runtime_vi_ms,rss_max_rank0_kb,rss_sum_all_kb,rss_min_all_kb,rss_max_all_kb,steps_total,eps_global,jdiff_maxnorm,jdiff_l2norm,jdiff_mse
2022-01-23_16:23:45,rpi,../automation/jobs/gen/ds/small/10_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,8,4,10995,10648,42776,221148,23060,42776,480,0.000000,0.021973,0.259605,0.000001
2022-01-23_16:27:06,rpi,../automation/jobs/gen/ds/small/11_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,8,4,11371,11200,32836,254704,31512,32836,480,0.000000,0.021973,0.259605,0.000001
2022-01-23_16:30:39,rpi,../automation/jobs/gen/ds/small/12_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,8,8,15325,15159,32488,253972,31596,32488,888,0.000000,0.019531,0.249481,0.000001
2022-01-23_16:34:12,rpi,../automation/jobs/gen/ds/small/13_MpiViSchema02_8.yaml,/data/data_small/,MpiViSchema02,8,8,15681,15327,42820,221528,23292,42820,888,0.000000,0.019531,0.249481,0.000001
2022-01-23_16:37:48,rpi,../automation/jobs/gen/ds/small/14_MpiViSchema03_8.yaml,/data/data_small/,MpiViSchema03,8,8,15840,15671,32940,254168,31472,32940,888,0.000000,0.019531,0.249481,0.000001
2022-01-23_16:41:18,rpi,../automation/jobs/gen/ds/small/15_MpiViSchema01_16.yaml,/data/data_small/,MpiViSchema01,8,16,24989,24826,32520,253884,31436,32520,1728,0.000000,0.015137,0.240611,0.000001
2022-01-23_16:44:56,rpi,../automation/jobs/gen/ds/small/16_MpiViSchema02_16.yaml,/data/data_small/,MpiViSchema02,8,16,25594,25237,42848,220992,23148,42848,1728,0.000000,0.015137,0.240611,0.000001
2022-01-23_16:48:39,rpi,../automation/jobs/gen/ds/small/17_MpiViSchema03_16.yaml,/data/data_small/,MpiViSchema03,8,16,25359,25186,32532,254396,31468,32532,1728,0.000000,0.015137,0.240611,0.000001
2022-01-23_16:52:15,rpi,../automation/jobs/gen/ds/small/18_MpiViSchema01_32.yaml,/data/data_small/,MpiViSchema01,8,32,42658,42495,32620,253772,31420,32620,3456,0.000000,0.012695,0.225885,0.000001
2022-01-23_16:56:16,rpi,../automation/jobs/gen/ds/small/19_MpiViSchema02_32.yaml,/data/data_small/,MpiViSchema02,8,32,42594,42242,42900,221656,23260,42900,3456,0.000000,0.012695,0.225885,0.000001
2022-01-23_17:00:11,rpi,../automation/jobs/gen/ds/small/20_MpiViSchema03_32.yaml,/data/data_small/,MpiViSchema03,8,32,42397,42227,32784,254768,31452,32784,3456,0.000000,0.012695,0.225885,0.000001
2022-01-23_17:04:11,rpi,../automation/jobs/gen/ds/small/21_MpiViSchema01_64.yaml,/data/data_small/,MpiViSchema01,8,64,56436,56267,32028,253188,31500,32028,5000,0.001953,1.006348,10.552239,0.001113
2022-01-23_17:08:17,rpi,../automation/jobs/gen/ds/small/22_MpiViSchema02_64.yaml,/data/data_small/,MpiViSchema02,8,64,57252,56898,42944,221476,23176,42944,5000,0.001953,1.006348,10.552239,0.001113
2022-01-23_17:12:32,rpi,../automation/jobs/gen/ds/small/23_MpiViSchema03_64.yaml,/data/data_small/,MpiViSchema03,8,64,57455,57283,32592,254680,31436,32592,5000,0.001953,1.006348,10.552239,0.001113
2022-01-23_17:16:43,rpi,../automation/jobs/gen/ds/small/6_MpiViSchema01_2.yaml,/data/data_small/,MpiViSchema01,8,2,10066,9890,32456,253404,31460,32456,310,0.000000,0.019531,0.291401,0.000001
2022-01-23_17:20:11,rpi,../automation/jobs/gen/ds/small/7_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,8,2,9445,9106,42784,221568,23200,42784,310,0.000000,0.019531,0.291401,0.000001
2022-01-23_17:23:38,rpi,../automation/jobs/gen/ds/small/8_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,8,2,9978,9808,32824,255276,31648,32824,310,0.000000,0.019531,0.291401,0.000001
2022-01-23_17:27:07,rpi,../automation/jobs/gen/ds/small/9_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,8,4,11469,11298,32584,253856,31384,32584,480,0.000000,0.021973,0.259605,0.000001
2022-01-23_17:30:40,rpi,../automation/jobs/gen/ds/small/10_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,12,4,10175,9781,43016,317780,23016,43016,528,0.000000,0.091309,0.887874,0.000008
2022-01-23_17:34:02,rpi,../automation/jobs/gen/ds/small/11_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,12,4,10516,10310,33044,382596,31536,33044,528,0.000000,0.091309,0.887874,0.000008
2022-01-23_17:37:31,rpi,../automation/jobs/gen/ds/small/12_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,12,8,14351,14161,32924,380848,31400,32924,1016,0.000000,0.056152,0.609761,0.000004
2022-01-23_17:41:06,rpi,../automation/jobs/gen/ds/small/13_MpiViSchema02_8.yaml,/data/data_small/,MpiViSchema02,12,8,14720,14324,42756,318112,22816,42756,1016,0.000000,0.056152,0.609761,0.000004
2022-01-23_17:44:38,rpi,../automation/jobs/gen/ds/small/14_MpiViSchema03_8.yaml,/data/data_small/,MpiViSchema03,12,8,15633,15434,33180,381780,31420,33180,1016,0.000000,0.056152,0.609761,0.000004
2022-01-23_17:48:11,rpi,../automation/jobs/gen/ds/small/15_MpiViSchema01_16.yaml,/data/data_small/,MpiViSchema01,12,16,21919,21671,32920,381228,31428,32920,1888,0.000000,0.092773,1.101866,0.000012
2022-01-23_17:51:52,rpi,../automation/jobs/gen/ds/small/16_MpiViSchema02_16.yaml,/data/data_small/,MpiViSchema02,12,16,22707,22292,42888,317460,22952,42888,1888,0.000000,0.092773,1.101866,0.000012
2022-01-23_17:55:31,rpi,../automation/jobs/gen/ds/small/17_MpiViSchema03_16.yaml,/data/data_small/,MpiViSchema03,12,16,22735,22529,33108,382060,31400,33108,1888,0.000000,0.092773,1.101866,0.000012
2022-01-23_17:59:12,rpi,../automation/jobs/gen/ds/small/18_MpiViSchema01_32.yaml,/data/data_small/,MpiViSchema01,12,32,39800,39589,32740,381000,31532,32740,3936,0.000000,0.047852,0.563049,0.000003
2022-01-23_18:03:10,rpi,../automation/jobs/gen/ds/small/19_MpiViSchema02_32.yaml,/data/data_small/,MpiViSchema02,12,32,39559,39133,42916,317360,22904,42916,3936,0.000000,0.047852,0.563049,0.000003
2022-01-23_18:07:08,rpi,../automation/jobs/gen/ds/small/20_MpiViSchema03_32.yaml,/data/data_small/,MpiViSchema03,12,32,40608,40416,33332,381992,31396,33332,3936,0.000000,0.047852,0.563049,0.000003
2022-01-23_18:11:04,rpi,../automation/jobs/gen/ds/small/21_MpiViSchema01_64.yaml,/data/data_small/,MpiViSchema01,12,64,48616,48411,32224,379632,31412,32224,5000,0.004395,5.789062,89.892120,0.080806
2022-01-23_18:15:10,rpi,../automation/jobs/gen/ds/small/22_MpiViSchema02_64.yaml,/data/data_small/,MpiViSchema02,12,64,48663,48238,42792,317860,23060,42792,5000,0.004395,5.789062,89.892120,0.080806
2022-01-23_18:19:17,rpi,../automation/jobs/gen/ds/small/23_MpiViSchema03_64.yaml,/data/data_small/,MpiViSchema03,12,64,48075,47869,32808,381260,31480,32808,5000,0.004395,5.789062,89.892120,0.080806
2022-01-23_18:23:23,rpi,../automation/jobs/gen/ds/small/6_MpiViSchema01_2.yaml,/data/data_small/,MpiViSchema01,12,2,7874,7658,32904,381696,31544,32904,316,0.000000,0.087891,0.976927,0.000010
2022-01-23_18:26:47,rpi,../automation/jobs/gen/ds/small/7_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,12,2,8047,7677,42900,317956,23056,42900,316,0.000000,0.087891,0.976927,0.000010
2022-01-23_18:30:09,rpi,../automation/jobs/gen/ds/small/8_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,12,2,8745,8532,33424,381968,31512,33424,316,0.000000,0.087891,0.976927,0.000010
2022-01-23_18:33:35,rpi,../automation/jobs/gen/ds/small/9_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,12,4,9751,9544,32776,381248,31552,32776,528,0.000000,0.091309,0.887874,0.000008
2022-01-23_18:36:54,rpi,../automation/jobs/gen/ds/small/10_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,16,4,10746,10296,42948,415060,22832,42948,528,0.000000,0.091309,0.887876,0.000008
2022-01-23_18:40:14,rpi,../automation/jobs/gen/ds/small/11_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,16,4,11867,11621,33200,509344,31404,33200,528,0.000000,0.091309,0.887876,0.000008
2022-01-23_18:43:48,rpi,../automation/jobs/gen/ds/small/12_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,16,8,15102,14853,32788,508784,31540,32788,1016,0.000000,0.056152,0.609761,0.000004
2022-01-23_18:47:21,rpi,../automation/jobs/gen/ds/small/13_MpiViSchema02_8.yaml,/data/data_small/,MpiViSchema02,16,8,15604,15136,42848,414812,22876,42848,1016,0.000000,0.056152,0.609761,0.000004
2022-01-23_18:50:55,rpi,../automation/jobs/gen/ds/small/14_MpiViSchema03_8.yaml,/data/data_small/,MpiViSchema03,16,8,16183,15932,33180,509496,31452,33180,1016,0.000000,0.056152,0.609761,0.000004
2022-01-23_18:54:28,rpi,../automation/jobs/gen/ds/small/15_MpiViSchema01_16.yaml,/data/data_small/,MpiViSchema01,16,16,23976,23751,32952,508584,31496,32952,1888,0.000000,0.092773,1.101867,0.000012
2022-01-23_18:58:10,rpi,../automation/jobs/gen/ds/small/16_MpiViSchema02_16.yaml,/data/data_small/,MpiViSchema02,16,16,23738,23230,42940,414716,22952,42940,1888,0.000000,0.092773,1.101867,0.000012
2022-01-23_19:01:52,rpi,../automation/jobs/gen/ds/small/17_MpiViSchema03_16.yaml,/data/data_small/,MpiViSchema03,16,16,24812,24563,33196,509776,31436,33196,1888,0.000000,0.092773,1.101867,0.000012
2022-01-23_19:05:34,rpi,../automation/jobs/gen/ds/small/18_MpiViSchema01_32.yaml,/data/data_small/,MpiViSchema01,16,32,42442,42195,32940,509184,31492,32940,3936,0.000000,0.047852,0.563049,0.000003
2022-01-23_19:09:33,rpi,../automation/jobs/gen/ds/small/19_MpiViSchema02_32.yaml,/data/data_small/,MpiViSchema02,16,32,42528,42000,42820,414616,22744,42820,3936,0.000000,0.047852,0.563049,0.000003
2022-01-23_19:13:31,rpi,../automation/jobs/gen/ds/small/20_MpiViSchema03_32.yaml,/data/data_small/,MpiViSchema03,16,32,43291,43045,33160,509768,31436,33160,3936,0.000000,0.047852,0.563049,0.000003
2022-01-23_19:17:33,rpi,../automation/jobs/gen/ds/small/21_MpiViSchema01_64.yaml,/data/data_small/,MpiViSchema01,16,64,50717,50464,32356,507840,31484,32356,5000,0.004395,5.789062,90.085281,0.081154
2022-01-23_19:21:41,rpi,../automation/jobs/gen/ds/small/22_MpiViSchema02_64.yaml,/data/data_small/,MpiViSchema02,16,64,51458,50918,43044,415056,22872,43044,5000,0.004395,5.789062,90.085281,0.081154
2022-01-23_19:25:50,rpi,../automation/jobs/gen/ds/small/23_MpiViSchema03_64.yaml,/data/data_small/,MpiViSchema03,16,64,52026,51771,32828,508800,31364,32828,5000,0.004395,5.789062,90.085281,0.081154
2022-01-23_19:30:00,rpi,../automation/jobs/gen/ds/small/6_MpiViSchema01_2.yaml,/data/data_small/,MpiViSchema01,16,2,8382,8138,32920,509128,31412,32920,316,0.000000,0.087891,0.977105,0.000010
2022-01-23_19:33:26,rpi,../automation/jobs/gen/ds/small/7_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,16,2,8503,8077,42948,414564,22832,42948,316,0.000000,0.087891,0.977105,0.000010
2022-01-23_19:36:47,rpi,../automation/jobs/gen/ds/small/8_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,16,2,10198,9968,32856,509508,31532,32856,316,0.000000,0.087891,0.977105,0.000010
2022-01-23_19:40:12,rpi,../automation/jobs/gen/ds/small/9_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,16,4,10336,10087,33208,509416,31496,33208,528,0.000000,0.091309,0.887876,0.000008
