datetime,target,configuration,data_set,schema,world_size,com_interval,runtime_ms,runtime_vi_ms,rss_max_rank0_kb,rss_sum_all_kb,rss_min_all_kb,rss_max_all_kb,steps_total,eps_global,jdiff_maxnorm,jdiff_l2norm,jdiff_mse
2022-01-23_15:26:35,nuc,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,2,2,8386,5965,46708,81352,34644,46708,270,0.000000,0.003906,0.177200,0.000000
2022-01-23_15:26:45,nuc,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,2,2,8775,6503,33056,65924,32868,33056,270,0.000000,0.003906,0.177200,0.000000
2022-01-23_15:27:00,nuc,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,2,4,8501,6211,33180,66152,32972,33180,308,0.000000,0.003906,0.177200,0.000000
2022-01-23_15:27:10,nuc,../automation/jobs/gen/ds/small/13_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,2,4,8629,6223,46756,81424,34668,46756,308,0.000000,0.003906,0.177200,0.000000
2022-01-23_15:27:25,nuc,../automation/jobs/gen/ds/small/14_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,2,4,8809,6531,33316,66304,32988,33316,308,0.000000,0.003906,0.177200,0.000000
2022-01-23_15:27:35,nuc,../automation/jobs/gen/ds/small/15_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,2,8,9554,7283,33092,66028,32936,33092,432,0.000000,0.003906,0.177200,0.000000
2022-01-23_15:27:51,nuc,../automation/jobs/gen/ds/small/16_MpiViSchema02_8.yaml,/data/data_small/,MpiViSchema02,2,8,9700,7293,46764,81432,34668,46764,432,0.000000,0.003906,0.177200,0.000000
2022-01-23_15:28:02,nuc,../automation/jobs/gen/ds/small/17_MpiViSchema03_8.yaml,/data/data_small/,MpiViSchema03,2,8,9795,7513,33028,65836,32808,33028,432,0.000000,0.003906,0.177200,0.000000
2022-01-23_15:28:18,nuc,../automation/jobs/gen/ds/small/18_MpiViSchema01_16.yaml,/data/data_small/,MpiViSchema01,2,16,12178,9878,33340,66360,33020,33340,720,0.000000,0.003906,0.177200,0.000000
2022-01-23_15:28:31,nuc,../automation/jobs/gen/ds/small/19_MpiViSchema02_16.yaml,/data/data_small/,MpiViSchema02,2,16,12267,9909,46736,81352,34616,46736,720,0.000000,0.003906,0.177200,0.000000
2022-01-23_15:28:50,nuc,../automation/jobs/gen/ds/small/20_MpiViSchema03_16.yaml,/data/data_small/,MpiViSchema03,2,16,12347,10061,33016,65756,32740,33016,720,0.000000,0.003906,0.177200,0.000000
2022-01-23_15:29:04,nuc,../automation/jobs/gen/ds/small/21_MpiViSchema01_32.yaml,/data/data_small/,MpiViSchema01,2,32,17851,15582,32892,65692,32800,32892,1344,0.000000,0.003906,0.177200,0.000000
2022-01-23_15:29:28,nuc,../automation/jobs/gen/ds/small/22_MpiViSchema02_32.yaml,/data/data_small/,MpiViSchema02,2,32,17989,15594,46452,81112,34660,46452,1344,0.000000,0.003906,0.177200,0.000000
2022-01-23_15:29:53,nuc,../automation/jobs/gen/ds/small/23_MpiViSchema03_32.yaml,/data/data_small/,MpiViSchema03,2,32,18032,15746,32844,65768,32844,32924,1344,0.000000,0.003906,0.177200,0.000000
2022-01-23_15:30:18,nuc,../automation/jobs/gen/ds/small/24_MpiViSchema01_64.yaml,/data/data_small/,MpiViSchema01,2,64,28420,26123,32944,65628,32684,32944,2560,0.000000,0.003906,0.177200,0.000000
2022-01-23_15:31:28,nuc,../automation/jobs/gen/ds/small/26_MpiViSchema03_64.yaml,/data/data_small/,MpiViSchema03,2,64,28577,26277,33152,65988,32836,33152,2560,0.000000,0.003906,0.177200,0.000000
2022-01-23_15:32:04,nuc,../automation/jobs/gen/ds/small/6_MpiViSchema01_1.yaml,/data/data_small/,MpiViSchema01,2,1,8311,6021,33408,66336,32928,33408,256,0.000000,0.003906,0.177200,0.000000
2022-01-23_15:32:13,nuc,../automation/jobs/gen/ds/small/7_MpiViSchema02_1.yaml,/data/data_small/,MpiViSchema02,2,1,8476,6069,46784,81320,34536,46784,256,0.000000,0.003906,0.177200,0.000000
2022-01-23_15:32:28,nuc,../automation/jobs/gen/ds/small/8_MpiViSchema03_1.yaml,/data/data_small/,MpiViSchema03,2,1,9414,7129,32800,65628,32800,32828,256,0.000000,0.003906,0.177200,0.000000
2022-01-23_15:32:38,nuc,../automation/jobs/gen/ds/small/9_MpiViSchema01_2.yaml,/data/data_small/,MpiViSchema01,2,2,8218,5937,33292,66212,32920,33292,270,0.000000,0.003906,0.177200,0.000000
2022-01-23_15:32:53,nuc,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,4,2,7310,4928,44760,131912,26532,44760,292,0.000000,0.003906,0.177200,0.000000
2022-01-23_15:33:02,nuc,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,4,2,7554,5246,33392,132576,32904,33392,292,0.000000,0.003906,0.177200,0.000000
2022-01-23_15:33:16,nuc,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,4,4,7319,5042,33536,133132,33000,33536,360,0.000000,0.003906,0.177200,0.000000
2022-01-23_15:33:24,nuc,../automation/jobs/gen/ds/small/13_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,4,4,7487,5068,44388,131464,26548,44388,360,0.000000,0.003906,0.177200,0.000000
2022-01-23_15:33:39,nuc,../automation/jobs/gen/ds/small/14_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,4,4,7486,5189,33216,132088,32852,33216,360,0.000000,0.003906,0.177200,0.000000
2022-01-23_15:33:47,nuc,../automation/jobs/gen/ds/small/15_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,4,8,8435,6150,33460,133280,33100,33460,552,0.000000,0.003906,0.177185,0.000000
2022-01-23_15:34:02,nuc,../automation/jobs/gen/ds/small/16_MpiViSchema02_8.yaml,/data/data_small/,MpiViSchema02,4,8,8562,6157,44692,131700,26468,44692,552,0.000000,0.003906,0.177185,0.000000
2022-01-23_15:34:12,nuc,../automation/jobs/gen/ds/small/17_MpiViSchema03_8.yaml,/data/data_small/,MpiViSchema03,4,8,8518,6225,33508,132576,32912,33508,552,0.000000,0.003906,0.177185,0.000000
2022-01-23_15:34:27,nuc,../automation/jobs/gen/ds/small/18_MpiViSchema01_16.yaml,/data/data_small/,MpiViSchema01,4,16,11417,9139,33412,133248,33080,33532,1024,0.000000,0.003906,0.177185,0.000000
2022-01-23_15:34:40,nuc,../automation/jobs/gen/ds/small/19_MpiViSchema02_16.yaml,/data/data_small/,MpiViSchema02,4,16,11513,9127,44632,131548,26224,44632,1024,0.000000,0.003906,0.177185,0.000000
2022-01-23_15:34:58,nuc,../automation/jobs/gen/ds/small/20_MpiViSchema03_16.yaml,/data/data_small/,MpiViSchema03,4,16,11534,9245,33240,132424,32992,33240,1024,0.000000,0.003906,0.177185,0.000000
