datetime,target,configuration,data_set,schema,world_size,com_interval,runtime_ms,runtime_vi_ms,rss_max_rank0_kb,rss_sum_all_kb,rss_min_all_kb,rss_max_all_kb,steps_total,eps_global,jdiff_maxnorm,jdiff_l2norm,jdiff_mse
2022-01-23_12:30:05,rpi,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,8,1,10741,9849,42652,220212,23084,42652,270,0.000000,0.013184,0.239891,0.000001
2022-01-23_12:33:35,rpi,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,8,1,12095,11938,32888,254652,31552,32888,270,0.000000,0.013184,0.239891,0.000001
2022-01-23_12:37:01,rpi,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,8,1,11478,11307,32448,253544,31468,32448,270,0.000000,0.013184,0.239891,0.000001
2022-01-23_12:40:30,rpi,../automation/jobs/gen/ds/small/13_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,8,1,9803,9472,42856,220944,23168,42856,270,0.000000,0.013184,0.239891,0.000001
2022-01-23_12:44:01,rpi,../automation/jobs/gen/ds/small/14_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,8,1,11461,11297,32880,254664,31540,32880,270,0.000000,0.013184,0.239891,0.000001
2022-01-23_12:47:30,rpi,../automation/jobs/gen/ds/small/15_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,8,1,10413,10248,32592,253860,31472,32592,270,0.000000,0.013184,0.239891,0.000001
2022-01-23_12:50:58,rpi,../automation/jobs/gen/ds/small/16_MpiViSchema02_8.yaml,/data/data_small/,MpiViSchema02,8,1,11091,10749,42600,221548,23304,42600,270,0.000000,0.013184,0.239891,0.000001
2022-01-23_12:54:26,rpi,../automation/jobs/gen/ds/small/17_MpiViSchema03_8.yaml,/data/data_small/,MpiViSchema03,8,1,10940,10771,32560,254308,31592,32560,270,0.000000,0.013184,0.239891,0.000001
2022-01-23_12:57:48,rpi,../automation/jobs/gen/ds/small/18_MpiViSchema01_16.yaml,/data/data_small/,MpiViSchema01,8,1,10845,10685,32592,254020,31480,32592,270,0.000000,0.013184,0.239891,0.000001
2022-01-23_13:01:13,rpi,../automation/jobs/gen/ds/small/19_MpiViSchema02_16.yaml,/data/data_small/,MpiViSchema02,8,1,10345,10003,42964,221644,23256,42964,270,0.000000,0.013184,0.239891,0.000001
2022-01-23_13:04:38,rpi,../automation/jobs/gen/ds/small/20_MpiViSchema03_16.yaml,/data/data_small/,MpiViSchema03,8,1,11314,11150,32664,254232,31576,32664,270,0.000000,0.013184,0.239891,0.000001
2022-01-23_13:08:02,rpi,../automation/jobs/gen/ds/small/21_MpiViSchema01_32.yaml,/data/data_small/,MpiViSchema01,8,1,10075,9905,32516,253384,31416,32516,270,0.000000,0.013184,0.239891,0.000001
2022-01-23_13:11:29,rpi,../automation/jobs/gen/ds/small/22_MpiViSchema02_32.yaml,/data/data_small/,MpiViSchema02,8,1,11286,10955,42764,221644,23228,42764,270,0.000000,0.013184,0.239891,0.000001
2022-01-23_13:14:57,rpi,../automation/jobs/gen/ds/small/23_MpiViSchema03_32.yaml,/data/data_small/,MpiViSchema03,8,1,11720,11549,32824,254276,31324,32824,270,0.000000,0.013184,0.239891,0.000001
2022-01-23_13:18:26,rpi,../automation/jobs/gen/ds/small/24_MpiViSchema01_64.yaml,/data/data_small/,MpiViSchema01,8,1,10693,10534,32316,253404,31460,32316,270,0.000000,0.013184,0.239891,0.000001
2022-01-23_13:21:57,rpi,../automation/jobs/gen/ds/small/25_MpiViSchema02_64.yaml,/data/data_small/,MpiViSchema02,8,1,10088,9749,42876,221600,23080,42876,270,0.000000,0.013184,0.239891,0.000001
2022-01-23_13:25:29,rpi,../automation/jobs/gen/ds/small/26_MpiViSchema03_64.yaml,/data/data_small/,MpiViSchema03,8,1,11149,10991,32696,255048,31604,32696,270,0.000000,0.013184,0.239891,0.000001
2022-01-23_13:28:59,rpi,../automation/jobs/gen/ds/small/6_MpiViSchema01_1.yaml,/data/data_small/,MpiViSchema01,8,1,10566,10408,32648,254016,31488,32648,270,0.000000,0.013184,0.239891,0.000001
2022-01-23_13:32:24,rpi,../automation/jobs/gen/ds/small/7_MpiViSchema02_1.yaml,/data/data_small/,MpiViSchema02,8,1,10574,10222,42996,221620,23232,42996,270,0.000000,0.013184,0.239891,0.000001
2022-01-23_13:35:49,rpi,../automation/jobs/gen/ds/small/8_MpiViSchema03_1.yaml,/data/data_small/,MpiViSchema03,8,1,11332,11159,32904,255092,31636,32904,270,0.000000,0.013184,0.239891,0.000001
2022-01-23_13:39:17,rpi,../automation/jobs/gen/ds/small/9_MpiViSchema01_2.yaml,/data/data_small/,MpiViSchema01,8,1,10916,10758,32788,254456,31580,32788,270,0.000000,0.013184,0.239891,0.000001
2022-01-23_13:42:39,rpi,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,12,1,8365,7995,42740,317440,23020,42740,265,0.000000,0.037109,0.996491,0.000010
2022-01-23_13:46:05,rpi,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,12,1,9834,9636,33436,381332,31348,33436,265,0.000000,0.037109,0.996491,0.000010
2022-01-23_13:49:35,rpi,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,12,1,8129,7932,32908,381272,31488,32908,265,0.000000,0.037109,0.996491,0.000010
2022-01-23_13:52:59,rpi,../automation/jobs/gen/ds/small/13_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,12,1,8474,8108,42852,317896,22888,42852,265,0.000000,0.037109,0.996491,0.000010
2022-01-23_13:56:19,rpi,../automation/jobs/gen/ds/small/14_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,12,1,10337,10133,32648,381800,31528,32648,265,0.000000,0.037109,0.996491,0.000010
2022-01-23_13:59:42,rpi,../automation/jobs/gen/ds/small/15_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,12,1,8176,7966,32900,380592,31428,32900,265,0.000000,0.037109,0.996491,0.000010
2022-01-23_14:03:11,rpi,../automation/jobs/gen/ds/small/16_MpiViSchema02_8.yaml,/data/data_small/,MpiViSchema02,12,1,8385,8018,42800,317104,22876,42800,265,0.000000,0.037109,0.996491,0.000010
2022-01-23_14:06:36,rpi,../automation/jobs/gen/ds/small/17_MpiViSchema03_8.yaml,/data/data_small/,MpiViSchema03,12,1,9814,9603,33068,381884,31528,33068,265,0.000000,0.037109,0.996491,0.000010
2022-01-23_14:10:00,rpi,../automation/jobs/gen/ds/small/18_MpiViSchema01_16.yaml,/data/data_small/,MpiViSchema01,12,1,8276,8066,32968,381032,31432,32968,265,0.000000,0.037109,0.996491,0.000010
2022-01-23_14:13:18,rpi,../automation/jobs/gen/ds/small/19_MpiViSchema02_16.yaml,/data/data_small/,MpiViSchema02,12,1,8755,8396,42884,317152,22924,42884,265,0.000000,0.037109,0.996491,0.000010
2022-01-23_14:16:43,rpi,../automation/jobs/gen/ds/small/20_MpiViSchema03_16.yaml,/data/data_small/,MpiViSchema03,12,1,10019,9820,32924,382316,31572,32924,265,0.000000,0.037109,0.996491,0.000010
2022-01-23_14:20:09,rpi,../automation/jobs/gen/ds/small/21_MpiViSchema01_32.yaml,/data/data_small/,MpiViSchema01,12,1,7969,7759,32880,380680,31448,32880,265,0.000000,0.037109,0.996491,0.000010
2022-01-23_14:23:38,rpi,../automation/jobs/gen/ds/small/22_MpiViSchema02_32.yaml,/data/data_small/,MpiViSchema02,12,1,8708,8328,42864,317404,22796,42864,265,0.000000,0.037109,0.996491,0.000010
2022-01-23_14:27:01,rpi,../automation/jobs/gen/ds/small/23_MpiViSchema03_32.yaml,/data/data_small/,MpiViSchema03,12,1,10005,9809,32936,380952,31412,32936,265,0.000000,0.037109,0.996491,0.000010
2022-01-23_14:30:26,rpi,../automation/jobs/gen/ds/small/24_MpiViSchema01_64.yaml,/data/data_small/,MpiViSchema01,12,1,8008,7799,32784,380944,31536,32784,265,0.000000,0.037109,0.996491,0.000010
2022-01-23_14:33:46,rpi,../automation/jobs/gen/ds/small/25_MpiViSchema02_64.yaml,/data/data_small/,MpiViSchema02,12,1,8510,8142,42916,317480,22876,42916,265,0.000000,0.037109,0.996491,0.000010
2022-01-23_14:37:15,rpi,../automation/jobs/gen/ds/small/26_MpiViSchema03_64.yaml,/data/data_small/,MpiViSchema03,12,1,10366,10172,33052,381856,31476,33052,265,0.000000,0.037109,0.996491,0.000010
2022-01-23_14:40:35,rpi,../automation/jobs/gen/ds/small/6_MpiViSchema01_1.yaml,/data/data_small/,MpiViSchema01,12,1,8047,7854,32976,381132,31468,32976,265,0.000000,0.037109,0.996491,0.000010
2022-01-23_14:44:01,rpi,../automation/jobs/gen/ds/small/7_MpiViSchema02_1.yaml,/data/data_small/,MpiViSchema02,12,1,8410,8057,42880,317508,22952,42880,265,0.000000,0.037109,0.996491,0.000010
2022-01-23_14:47:28,rpi,../automation/jobs/gen/ds/small/8_MpiViSchema03_1.yaml,/data/data_small/,MpiViSchema03,12,1,9775,9564,33192,382880,31508,33192,265,0.000000,0.037109,0.996491,0.000010
2022-01-23_14:50:54,rpi,../automation/jobs/gen/ds/small/9_MpiViSchema01_2.yaml,/data/data_small/,MpiViSchema01,12,1,8109,7918,32624,380412,31320,32624,265,0.000000,0.037109,0.996491,0.000010
2022-01-23_14:54:18,rpi,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,16,1,8839,8417,42964,414236,22924,42964,265,0.000000,0.037109,0.997373,0.000010
2022-01-23_14:57:40,rpi,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,16,1,10972,10734,32960,509944,31420,32960,265,0.000000,0.037109,0.997373,0.000010
2022-01-23_15:01:09,rpi,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,16,1,8831,8582,33212,509092,31496,33212,265,0.000000,0.037109,0.997373,0.000010
2022-01-23_15:04:39,rpi,../automation/jobs/gen/ds/small/13_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,16,1,9206,8806,42784,414820,22880,42784,265,0.000000,0.037109,0.997373,0.000010
2022-01-23_15:08:04,rpi,../automation/jobs/gen/ds/small/14_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,16,1,11046,10794,32716,509548,31476,32716,265,0.000000,0.037109,0.997373,0.000010
2022-01-23_15:11:28,rpi,../automation/jobs/gen/ds/small/15_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,16,1,8535,8279,32756,509028,31588,32756,265,0.000000,0.037109,0.997373,0.000010
2022-01-23_15:14:54,rpi,../automation/jobs/gen/ds/small/16_MpiViSchema02_8.yaml,/data/data_small/,MpiViSchema02,16,1,8980,8515,42916,414320,22808,42916,265,0.000000,0.037109,0.997373,0.000010
2022-01-23_15:18:23,rpi,../automation/jobs/gen/ds/small/17_MpiViSchema03_8.yaml,/data/data_small/,MpiViSchema03,16,1,11359,11108,32836,509516,31568,32836,265,0.000000,0.037109,0.997373,0.000010
2022-01-23_15:21:56,rpi,../automation/jobs/gen/ds/small/18_MpiViSchema01_16.yaml,/data/data_small/,MpiViSchema01,16,1,8850,8602,32812,508520,31452,32812,265,0.000000,0.037109,0.997373,0.000010
2022-01-23_15:25:25,rpi,../automation/jobs/gen/ds/small/19_MpiViSchema02_16.yaml,/data/data_small/,MpiViSchema02,16,1,9113,8708,42616,413924,22644,42616,265,0.000000,0.037109,0.997373,0.000010
