datetime,target,configuration,data_set,schema,world_size,com_interval,runtime_ms,runtime_vi_ms,rss_max_rank0_kb,rss_sum_all_kb,rss_min_all_kb,rss_max_all_kb,steps_total,eps_global,jdiff_maxnorm,jdiff_l2norm,jdiff_mse
2022-01-24_22:49:29,hpcclassmixed,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,14,2,3682,3060,43732,380904,23916,43732,312,0.000000,0.106445,1.207424,0.000015
2022-01-24_22:49:35,hpcclassmixed,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,14,2,3375,2849,43668,380416,23884,43668,312,0.000000,0.106445,1.207424,0.000015
2022-01-24_22:49:39,hpcclassmixed,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,14,2,2994,2525,43460,380900,23936,43460,312,0.000000,0.106445,1.207424,0.000015
2022-01-24_22:49:43,hpcclassmixed,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,14,2,3274,2776,44004,381524,23860,44004,312,0.000000,0.106445,1.207424,0.000015
2022-01-24_22:49:48,hpcclassmixed,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,14,2,3220,2732,43824,380868,24000,43824,312,0.000000,0.106445,1.207424,0.000015
2022-01-24_22:49:53,hpcclassmixed,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,14,2,3597,3299,33664,459108,32452,33664,312,0.000000,0.106445,1.207424,0.000015
2022-01-24_22:49:57,hpcclassmixed,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,14,2,3458,3177,34036,459452,32520,34036,312,0.000000,0.106445,1.207424,0.000015
2022-01-24_22:50:02,hpcclassmixed,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,14,2,3599,3291,33940,459000,32452,33940,312,0.000000,0.106445,1.207424,0.000015
2022-01-24_22:50:07,hpcclassmixed,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,14,2,3674,3377,33744,459276,32544,33744,312,0.000000,0.106445,1.207424,0.000015
2022-01-24_22:50:12,hpcclassmixed,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,14,2,3897,3577,33984,459920,32504,33984,312,0.000000,0.106445,1.207424,0.000015
2022-01-24_22:50:18,hpcclassmixed,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,14,4,3785,3457,34204,460788,32588,34204,516,0.000000,0.120605,1.199044,0.000014
2022-01-24_22:50:23,hpcclassmixed,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,14,4,3700,3365,34240,460840,32564,34240,516,0.000000,0.120605,1.199044,0.000014
2022-01-24_22:50:29,hpcclassmixed,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,14,4,3703,3386,33836,460224,32588,33836,516,0.000000,0.120605,1.199044,0.000014
2022-01-24_22:50:34,hpcclassmixed,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,14,4,3966,3639,34124,459828,32492,34124,516,0.000000,0.120605,1.199044,0.000014
2022-01-24_22:50:40,hpcclassmixed,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,14,4,3644,3304,34092,460216,32552,34092,516,0.000000,0.120605,1.199044,0.000014
2022-01-24_22:50:45,hpcclassmixed,../automation/jobs/gen/ds/small/13_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,14,4,4061,3517,43448,380332,23840,43448,516,0.000000,0.120605,1.199044,0.000014
2022-01-24_22:50:51,hpcclassmixed,../automation/jobs/gen/ds/small/13_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,14,4,4192,3619,43744,380732,23724,43744,516,0.000000,0.120605,1.199044,0.000014
2022-01-24_22:50:57,hpcclassmixed,../automation/jobs/gen/ds/small/13_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,14,4,3957,3369,43680,380576,23680,43680,516,0.000000,0.120605,1.199044,0.000014
2022-01-24_22:51:03,hpcclassmixed,../automation/jobs/gen/ds/small/13_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,14,4,4146,3568,43960,381572,23896,43960,516,0.000000,0.120605,1.199044,0.000014
2022-01-24_22:51:09,hpcclassmixed,../automation/jobs/gen/ds/small/13_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,14,4,4351,3809,43828,381284,24004,43828,516,0.000000,0.120605,1.199044,0.000014
2022-01-24_22:51:14,hpcclassmixed,../automation/jobs/gen/ds/small/14_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,14,4,4315,4012,33928,460044,32572,33928,516,0.000000,0.120605,1.199044,0.000014
2022-01-24_22:51:20,hpcclassmixed,../automation/jobs/gen/ds/small/14_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,14,4,4413,4084,34096,459904,32388,34096,516,0.000000,0.120605,1.199044,0.000014
2022-01-24_22:51:27,hpcclassmixed,../automation/jobs/gen/ds/small/14_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,14,4,4222,3896,34204,460004,32500,34204,516,0.000000,0.120605,1.199044,0.000014
2022-01-24_22:51:32,hpcclassmixed,../automation/jobs/gen/ds/small/14_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,14,4,4506,4202,33748,459408,32512,33748,516,0.000000,0.120605,1.199044,0.000014
2022-01-24_22:51:38,hpcclassmixed,../automation/jobs/gen/ds/small/14_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,14,4,4235,3896,34296,460040,32568,34296,516,0.000000,0.120605,1.199044,0.000014
2022-01-24_22:51:44,hpcclassmixed,../automation/jobs/gen/ds/small/15_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,14,8,4772,4429,34012,460912,32688,34012,1000,0.000000,0.068848,0.733319,0.000005
2022-01-24_22:51:51,hpcclassmixed,../automation/jobs/gen/ds/small/15_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,14,8,4639,4313,34200,460464,32580,34200,1000,0.000000,0.068848,0.733319,0.000005
2022-01-24_22:51:57,hpcclassmixed,../automation/jobs/gen/ds/small/15_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,14,8,4971,4670,34240,460584,32572,34240,1000,0.000000,0.068848,0.733319,0.000005
2022-01-24_22:52:04,hpcclassmixed,../automation/jobs/gen/ds/small/15_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,14,8,4898,4581,34212,460780,32564,34212,1000,0.000000,0.068848,0.733319,0.000005
2022-01-24_22:52:11,hpcclassmixed,../automation/jobs/gen/ds/small/15_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,14,8,4826,4512,34000,460588,32600,34000,1000,0.000000,0.068848,0.733319,0.000005
2022-01-24_22:52:17,hpcclassmixed,../automation/jobs/gen/ds/small/16_MpiViSchema02_8.yaml,/data/data_small/,MpiViSchema02,14,8,4883,4311,43692,379976,23656,43692,1000,0.000000,0.068848,0.733319,0.000005
2022-01-24_22:52:23,hpcclassmixed,../automation/jobs/gen/ds/small/16_MpiViSchema02_8.yaml,/data/data_small/,MpiViSchema02,14,8,5368,4823,43436,380328,23652,43436,1000,0.000000,0.068848,0.733319,0.000005
2022-01-24_22:52:30,hpcclassmixed,../automation/jobs/gen/ds/small/16_MpiViSchema02_8.yaml,/data/data_small/,MpiViSchema02,14,8,5652,5027,44008,381128,23896,44008,1000,0.000000,0.068848,0.733319,0.000005
2022-01-24_22:52:38,hpcclassmixed,../automation/jobs/gen/ds/small/16_MpiViSchema02_8.yaml,/data/data_small/,MpiViSchema02,14,8,5257,4729,43340,380200,23928,43340,1000,0.000000,0.068848,0.733319,0.000005
2022-01-24_22:52:45,hpcclassmixed,../automation/jobs/gen/ds/small/16_MpiViSchema02_8.yaml,/data/data_small/,MpiViSchema02,14,8,5121,4589,43636,380816,23936,43636,1000,0.000000,0.068848,0.733319,0.000005
2022-01-24_22:52:52,hpcclassmixed,../automation/jobs/gen/ds/small/17_MpiViSchema03_8.yaml,/data/data_small/,MpiViSchema03,14,8,5324,5014,34076,459228,32456,34076,1000,0.000000,0.068848,0.733319,0.000005
2022-01-24_22:52:59,hpcclassmixed,../automation/jobs/gen/ds/small/17_MpiViSchema03_8.yaml,/data/data_small/,MpiViSchema03,14,8,5383,5073,34044,459580,32548,34044,1000,0.000000,0.068848,0.733319,0.000005
2022-01-24_22:53:06,hpcclassmixed,../automation/jobs/gen/ds/small/17_MpiViSchema03_8.yaml,/data/data_small/,MpiViSchema03,14,8,5453,5113,34284,459992,32424,34284,1000,0.000000,0.068848,0.733319,0.000005
