datetime,target,configuration,data_set,schema,world_size,com_interval,runtime_ms,runtime_vi_ms,rss_max_rank0_kb,rss_sum_all_kb,rss_min_all_kb,rss_max_all_kb,steps_total,eps_global,jdiff_maxnorm,jdiff_l2norm,jdiff_mse
2022-01-24_20:35:59,local,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,2,2,2930,2640,44020,76124,32104,44020,270,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:36:02,local,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,2,2,2893,2645,44068,76432,32364,44068,270,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:36:05,local,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,2,2,2889,2643,44000,76440,32440,44000,270,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:36:08,local,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,2,2,3019,2772,44084,76484,32400,44084,270,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:36:11,local,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,2,2,2935,2688,44056,76364,32308,44056,270,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:36:14,local,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,2,2,2895,2661,30784,61288,30504,30784,270,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:36:17,local,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,2,2,2892,2656,30892,61384,30492,30892,270,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:36:20,local,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,2,2,2946,2705,30812,61356,30544,30812,270,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:36:24,local,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,2,2,2891,2655,30820,61352,30532,30820,270,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:36:27,local,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,2,2,2883,2644,30816,61352,30536,30816,270,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:36:30,local,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,2,4,3088,2849,30828,61308,30480,30828,308,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:36:33,local,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,2,4,3082,2847,30828,61380,30552,30828,308,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:36:36,local,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,2,4,3082,2847,30888,61380,30492,30888,308,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:36:39,local,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,2,4,3088,2848,30788,61280,30492,30788,308,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:36:42,local,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,2,4,3085,2844,30784,61328,30544,30784,308,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:36:46,local,../automation/jobs/gen/ds/small/13_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,2,4,3090,2845,44060,76504,32444,44060,308,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:36:49,local,../automation/jobs/gen/ds/small/13_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,2,4,3088,2846,44040,76512,32472,44040,308,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:36:52,local,../automation/jobs/gen/ds/small/13_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,2,4,3089,2840,44032,76484,32452,44032,308,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:36:55,local,../automation/jobs/gen/ds/small/13_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,2,4,3092,2847,44008,76424,32416,44008,308,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:36:58,local,../automation/jobs/gen/ds/small/13_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,2,4,3086,2844,44068,76516,32448,44068,308,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:37:02,local,../automation/jobs/gen/ds/small/14_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,2,4,3072,2848,30820,61356,30536,30820,308,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:37:05,local,../automation/jobs/gen/ds/small/14_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,2,4,3085,2846,30684,61232,30548,30684,308,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:37:08,local,../automation/jobs/gen/ds/small/14_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,2,4,3089,2849,30828,61404,30576,30828,308,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:37:11,local,../automation/jobs/gen/ds/small/14_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,2,4,3088,2849,30820,61376,30556,30820,308,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:37:14,local,../automation/jobs/gen/ds/small/14_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,2,4,3090,2852,30900,61432,30532,30900,308,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:37:18,local,../automation/jobs/gen/ds/small/15_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,2,8,3611,3376,30832,61396,30564,30832,432,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:37:21,local,../automation/jobs/gen/ds/small/15_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,2,8,3617,3382,30836,61364,30528,30836,432,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:37:25,local,../automation/jobs/gen/ds/small/15_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,2,8,3621,3382,30788,61280,30492,30788,432,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:37:29,local,../automation/jobs/gen/ds/small/15_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,2,8,3618,3383,30908,61480,30572,30908,432,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:37:33,local,../automation/jobs/gen/ds/small/15_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,2,8,3619,3380,30804,61264,30460,30804,432,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:37:36,local,../automation/jobs/gen/ds/small/16_MpiViSchema02_8.yaml,/data/data_small/,MpiViSchema02,2,8,3621,3377,44112,76468,32356,44112,432,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:37:40,local,../automation/jobs/gen/ds/small/16_MpiViSchema02_8.yaml,/data/data_small/,MpiViSchema02,2,8,3629,3379,44000,76456,32456,44000,432,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:37:44,local,../automation/jobs/gen/ds/small/16_MpiViSchema02_8.yaml,/data/data_small/,MpiViSchema02,2,8,3619,3376,44036,76480,32444,44036,432,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:37:48,local,../automation/jobs/gen/ds/small/16_MpiViSchema02_8.yaml,/data/data_small/,MpiViSchema02,2,8,3625,3381,44112,76532,32420,44112,432,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:37:51,local,../automation/jobs/gen/ds/small/16_MpiViSchema02_8.yaml,/data/data_small/,MpiViSchema02,2,8,3626,3379,44120,76524,32404,44120,432,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:37:55,local,../automation/jobs/gen/ds/small/17_MpiViSchema03_8.yaml,/data/data_small/,MpiViSchema03,2,8,3620,3381,30896,61432,30536,30896,432,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:37:59,local,../automation/jobs/gen/ds/small/17_MpiViSchema03_8.yaml,/data/data_small/,MpiViSchema03,2,8,3623,3382,30832,61316,30484,30832,432,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:38:03,local,../automation/jobs/gen/ds/small/17_MpiViSchema03_8.yaml,/data/data_small/,MpiViSchema03,2,8,3623,3381,30888,61428,30540,30888,432,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:38:06,local,../automation/jobs/gen/ds/small/17_MpiViSchema03_8.yaml,/data/data_small/,MpiViSchema03,2,8,3616,3377,30824,61372,30548,30824,432,0.000000,0.003906,0.177200,0.000000
