datetime,target,configuration,data_set,schema,world_size,com_interval,runtime_ms,runtime_vi_ms,rss_max_rank0_kb,rss_sum_all_kb,rss_min_all_kb,rss_max_all_kb,steps_total,eps_global,jdiff_maxnorm,jdiff_l2norm,jdiff_mse
2022-01-24_20:35:38,nuc,../automation/jobs/gen/ds/small/10_MpiViSchema02_5.yaml,/data/data_small/,MpiViSchema02,2,5,8853,6453,46884,81572,34688,46884,335,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:35:47,nuc,../automation/jobs/gen/ds/small/10_MpiViSchema02_5.yaml,/data/data_small/,MpiViSchema02,2,5,8831,6453,46572,81020,34448,46572,335,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:36:03,nuc,../automation/jobs/gen/ds/small/10_MpiViSchema02_5.yaml,/data/data_small/,MpiViSchema02,2,5,8859,6459,46472,81156,34684,46472,335,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:36:13,nuc,../automation/jobs/gen/ds/small/10_MpiViSchema02_5.yaml,/data/data_small/,MpiViSchema02,2,5,8844,6444,46564,80980,34416,46564,335,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:36:28,nuc,../automation/jobs/gen/ds/small/10_MpiViSchema02_5.yaml,/data/data_small/,MpiViSchema02,2,5,8853,6460,46552,81240,34688,46552,335,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:36:38,nuc,../automation/jobs/gen/ds/small/11_MpiViSchema03_5.yaml,/data/data_small/,MpiViSchema03,2,5,8975,6709,33036,65936,32900,33036,335,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:36:54,nuc,../automation/jobs/gen/ds/small/11_MpiViSchema03_5.yaml,/data/data_small/,MpiViSchema03,2,5,9022,6733,33120,66060,32940,33120,335,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:37:04,nuc,../automation/jobs/gen/ds/small/11_MpiViSchema03_5.yaml,/data/data_small/,MpiViSchema03,2,5,9028,6733,33052,66020,32968,33052,335,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:37:19,nuc,../automation/jobs/gen/ds/small/11_MpiViSchema03_5.yaml,/data/data_small/,MpiViSchema03,2,5,8996,6720,32956,65688,32732,32956,335,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:37:29,nuc,../automation/jobs/gen/ds/small/11_MpiViSchema03_5.yaml,/data/data_small/,MpiViSchema03,2,5,9008,6709,33140,65924,32784,33140,335,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:37:45,nuc,../automation/jobs/gen/ds/small/12_MpiViSchema01_6.yaml,/data/data_small/,MpiViSchema01,2,6,8946,6668,33196,66140,32944,33196,360,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:37:55,nuc,../automation/jobs/gen/ds/small/12_MpiViSchema01_6.yaml,/data/data_small/,MpiViSchema01,2,6,8942,6653,33348,66272,32924,33348,360,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:38:11,nuc,../automation/jobs/gen/ds/small/12_MpiViSchema01_6.yaml,/data/data_small/,MpiViSchema01,2,6,8938,6645,33232,66144,32912,33232,360,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:38:20,nuc,../automation/jobs/gen/ds/small/12_MpiViSchema01_6.yaml,/data/data_small/,MpiViSchema01,2,6,8934,6662,33172,66200,33028,33172,360,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:38:36,nuc,../automation/jobs/gen/ds/small/12_MpiViSchema01_6.yaml,/data/data_small/,MpiViSchema01,2,6,8946,6658,33192,66068,32876,33192,360,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:38:46,nuc,../automation/jobs/gen/ds/small/13_MpiViSchema02_6.yaml,/data/data_small/,MpiViSchema02,2,6,9056,6664,46740,81404,34664,46740,360,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:39:02,nuc,../automation/jobs/gen/ds/small/13_MpiViSchema02_6.yaml,/data/data_small/,MpiViSchema02,2,6,9079,6682,46664,81092,34428,46664,360,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:39:12,nuc,../automation/jobs/gen/ds/small/13_MpiViSchema02_6.yaml,/data/data_small/,MpiViSchema02,2,6,9062,6675,46772,81384,34612,46772,360,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:39:28,nuc,../automation/jobs/gen/ds/small/13_MpiViSchema02_6.yaml,/data/data_small/,MpiViSchema02,2,6,9063,6665,46624,80988,34364,46624,360,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:39:38,nuc,../automation/jobs/gen/ds/small/13_MpiViSchema02_6.yaml,/data/data_small/,MpiViSchema02,2,6,9078,6665,46636,81308,34672,46636,360,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:39:50,nuc,../automation/jobs/gen/ds/small/14_MpiViSchema03_6.yaml,/data/data_small/,MpiViSchema03,2,6,9193,6903,32796,65724,32796,32928,360,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:40:01,nuc,../automation/jobs/gen/ds/small/14_MpiViSchema03_6.yaml,/data/data_small/,MpiViSchema03,2,6,9166,6900,33068,65832,32764,33068,360,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:40:16,nuc,../automation/jobs/gen/ds/small/14_MpiViSchema03_6.yaml,/data/data_small/,MpiViSchema03,2,6,9190,6913,32928,65920,32928,32992,360,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:40:27,nuc,../automation/jobs/gen/ds/small/14_MpiViSchema03_6.yaml,/data/data_small/,MpiViSchema03,2,6,9159,6908,32804,65612,32804,32808,360,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:40:43,nuc,../automation/jobs/gen/ds/small/14_MpiViSchema03_6.yaml,/data/data_small/,MpiViSchema03,2,6,9174,6899,33064,65896,32832,33064,360,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:40:53,nuc,../automation/jobs/gen/ds/small/15_MpiViSchema01_9.yaml,/data/data_small/,MpiViSchema01,2,9,9907,7624,32904,65824,32904,32920,468,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:41:09,nuc,../automation/jobs/gen/ds/small/15_MpiViSchema01_9.yaml,/data/data_small/,MpiViSchema01,2,9,9908,7618,33420,66384,32964,33420,468,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:41:20,nuc,../automation/jobs/gen/ds/small/15_MpiViSchema01_9.yaml,/data/data_small/,MpiViSchema01,2,9,9932,7643,33420,66216,32796,33420,468,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:41:37,nuc,../automation/jobs/gen/ds/small/15_MpiViSchema01_9.yaml,/data/data_small/,MpiViSchema01,2,9,9922,7629,33352,66220,32868,33352,468,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:41:48,nuc,../automation/jobs/gen/ds/small/15_MpiViSchema01_9.yaml,/data/data_small/,MpiViSchema01,2,9,9944,7658,33360,66388,33028,33360,468,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:42:01,nuc,../automation/jobs/gen/ds/small/16_MpiViSchema02_9.yaml,/data/data_small/,MpiViSchema02,2,9,10042,7644,46424,81084,34660,46424,468,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:42:12,nuc,../automation/jobs/gen/ds/small/16_MpiViSchema02_9.yaml,/data/data_small/,MpiViSchema02,2,9,10040,7652,46788,81396,34608,46788,468,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:42:29,nuc,../automation/jobs/gen/ds/small/16_MpiViSchema02_9.yaml,/data/data_small/,MpiViSchema02,2,9,10031,7638,46496,81160,34664,46496,468,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:42:40,nuc,../automation/jobs/gen/ds/small/16_MpiViSchema02_9.yaml,/data/data_small/,MpiViSchema02,2,9,10033,7645,46680,81396,34716,46680,468,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:42:57,nuc,../automation/jobs/gen/ds/small/16_MpiViSchema02_9.yaml,/data/data_small/,MpiViSchema02,2,9,10045,7648,46756,81364,34608,46756,468,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:43:08,nuc,../automation/jobs/gen/ds/small/17_MpiViSchema03_9.yaml,/data/data_small/,MpiViSchema03,2,9,10132,7844,33452,66472,33020,33452,468,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:43:25,nuc,../automation/jobs/gen/ds/small/17_MpiViSchema03_9.yaml,/data/data_small/,MpiViSchema03,2,9,10141,7846,32940,65660,32720,32940,468,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:43:36,nuc,../automation/jobs/gen/ds/small/17_MpiViSchema03_9.yaml,/data/data_small/,MpiViSchema03,2,9,10159,7870,32988,65876,32888,32988,468,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:43:53,nuc,../automation/jobs/gen/ds/small/17_MpiViSchema03_9.yaml,/data/data_small/,MpiViSchema03,2,9,10119,7845,33124,66056,32932,33124,468,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:44:04,nuc,../automation/jobs/gen/ds/small/17_MpiViSchema03_9.yaml,/data/data_small/,MpiViSchema03,2,9,10121,7845,33180,65940,32760,33180,468,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:44:21,nuc,../automation/jobs/gen/ds/small/18_MpiViSchema01_10.yaml,/data/data_small/,MpiViSchema01,2,10,10175,7901,33404,66384,32980,33404,500,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:44:32,nuc,../automation/jobs/gen/ds/small/18_MpiViSchema01_10.yaml,/data/data_small/,MpiViSchema01,2,10,10195,7923,33332,66264,32932,33332,500,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:44:46,nuc,../automation/jobs/gen/ds/small/18_MpiViSchema01_10.yaml,/data/data_small/,MpiViSchema01,2,10,10200,7908,33376,66352,32976,33376,500,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:44:57,nuc,../automation/jobs/gen/ds/small/18_MpiViSchema01_10.yaml,/data/data_small/,MpiViSchema01,2,10,10203,7907,33388,66296,32908,33388,500,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:45:14,nuc,../automation/jobs/gen/ds/small/18_MpiViSchema01_10.yaml,/data/data_small/,MpiViSchema01,2,10,10214,7911,33248,66192,32944,33248,500,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:45:25,nuc,../automation/jobs/gen/ds/small/19_MpiViSchema02_10.yaml,/data/data_small/,MpiViSchema02,2,10,10311,7914,46820,81788,34968,46820,500,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:45:42,nuc,../automation/jobs/gen/ds/small/19_MpiViSchema02_10.yaml,/data/data_small/,MpiViSchema02,2,10,10325,7928,46372,80940,34568,46372,500,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:45:53,nuc,../automation/jobs/gen/ds/small/19_MpiViSchema02_10.yaml,/data/data_small/,MpiViSchema02,2,10,10358,7940,46816,81376,34560,46816,500,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:46:10,nuc,../automation/jobs/gen/ds/small/19_MpiViSchema02_10.yaml,/data/data_small/,MpiViSchema02,2,10,10359,7941,46872,81556,34684,46872,500,0.000000,0.003906,0.177200,0.000000
2022-01-24_20:46:22,nuc,../automation/jobs/gen/ds/small/19_MpiViSchema02_10.yaml,/data/data_small/,MpiViSchema02,2,10,10324,7940,46476,80968,34492,46476,500,0.000000,0.003906,0.177200,0.000000
