datetime,target,configuration,data_set,schema,world_size,com_intervall,runtime_ms,runtime_vi_ms,rss_max_rank0_kb,rss_sum_all_kb,rss_min_all_kb,rss_max_all_kb,steps_total,eps_global,jdiff_maxnorm,jdiff_l2norm,jdiff_mse
2022-01-22_17:29:22,hpcclassmixed,../automation/jobs/hpcclassmixed/default.yaml,/data/data_small/,MpiViSchema01,30,1,87534,86888,34456,987636,32592,34456,269,0.000000,0.025391,0.568426,0.000003
2022-01-22_17:30:51,hpcclassmixed,../automation/jobs/hpcclassmixed/default.yaml,/data/data_small/,MpiViSchema01,30,1,88589,87995,34060,988224,32648,34060,269,0.000000,0.025391,0.568426,0.000003
2022-01-22_17:32:22,hpcclassmixed,../automation/jobs/hpcclassmixed/default.yaml,/data/data_small/,MpiViSchema01,30,1,89660,89131,34360,988488,32648,34360,269,0.000000,0.025391,0.568426,0.000003
2022-01-22_17:33:55,hpcclassmixed,../automation/jobs/hpcclassmixed/default.yaml,/data/data_small/,MpiViSchema01,30,1,96759,96199,34552,989992,32736,34552,269,0.000000,0.025391,0.568426,0.000003
2022-01-22_17:35:34,hpcclassmixed,../automation/jobs/hpcclassmixed/default.yaml,/data/data_small/,MpiViSchema01,30,1,95141,94507,34316,988672,32612,34316,269,0.000000,0.025391,0.568426,0.000003
2022-01-22_17:55:02,hpcclassmixed,../automation/jobs/hpcclassmixed/default.yaml,/data/data_small/,MpiViSchema01,30,1,90692,90163,34292,986472,32612,34292,269,0.000000,0.025391,0.568426,0.000003
2022-01-22_17:56:35,hpcclassmixed,../automation/jobs/hpcclassmixed/default.yaml,/data/data_small/,MpiViSchema01,30,1,91101,90580,34624,988696,32636,34624,269,0.000000,0.025391,0.568426,0.000003
2022-01-22_17:58:09,hpcclassmixed,../automation/jobs/hpcclassmixed/default.yaml,/data/data_small/,MpiViSchema01,30,1,92578,92040,34404,987680,32556,34404,269,0.000000,0.025391,0.568426,0.000003
2022-01-22_17:59:44,hpcclassmixed,../automation/jobs/hpcclassmixed/default.yaml,/data/data_small/,MpiViSchema01,30,1,93055,92466,34708,988556,32672,34708,269,0.000000,0.025391,0.568426,0.000003
2022-01-22_18:01:19,hpcclassmixed,../automation/jobs/hpcclassmixed/default.yaml,/data/data_small/,MpiViSchema01,30,1,90379,89811,34472,989292,32596,34472,269,0.000000,0.025391,0.568426,0.000003
