datetime,target,configuration,data_set,schema,world_size,com_interval,runtime_ms,runtime_vi_ms,rss_max_rank0_kb,rss_sum_all_kb,rss_min_all_kb,rss_max_all_kb,steps_total,eps_global,jdiff_maxnorm,jdiff_l2norm,jdiff_mse
2022-01-22_14:32:12,rpi,../automation/jobs/rpi/default.yaml,/data/data_small/,MpiViSchema01,16,1,9040,8796,33056,509284,31500,33056,265,0.000000,0.037109,0.997373,0.000010
2022-01-22_16:42:33,rpi,../automation/jobs/rpi/default.yaml,/data/data_small/,MpiViSchema01,16,1,9049,8814,32856,509424,31588,32856,265,0.000000,0.037109,0.997373,0.000010
2022-01-22_16:45:18,rpi,../automation/jobs/rpi/default.yaml,/data/data_small/,MpiViSchema01,16,1,9132,8891,32776,508328,31492,32776,265,0.000000,0.037109,0.997373,0.000010
2022-01-22_16:48:08,rpi,../automation/jobs/rpi/default.yaml,/data/data_small/,MpiViSchema01,16,1,9212,8963,32932,508868,31540,32932,265,0.000000,0.037109,0.997373,0.000010
2022-01-22_16:50:57,rpi,../automation/jobs/rpi/default.yaml,/data/data_small/,MpiViSchema01,16,1,8995,8746,32756,508288,31528,32756,265,0.000000,0.037109,0.997373,0.000010
2022-01-22_16:53:41,rpi,../automation/jobs/rpi/default.yaml,/data/data_small/,MpiViSchema01,16,1,8650,8402,33208,509128,31484,33208,265,0.000000,0.037109,0.997373,0.000010
2022-01-22_17:00:12,rpi,../automation/jobs/rpi/default.yaml,/data/data_small/,MpiViSchema01,8,1,11841,11596,32416,254420,31560,32416,270,0.000000,0.013184,0.239891,0.000001
2022-01-22_17:02:58,rpi,../automation/jobs/rpi/default.yaml,/data/data_small/,MpiViSchema01,8,1,12077,11827,32384,254488,31616,32384,270,0.000000,0.013184,0.239891,0.000001
2022-01-22_17:05:52,rpi,../automation/jobs/rpi/default.yaml,/data/data_small/,MpiViSchema01,8,1,12077,11830,32340,253992,31560,32340,270,0.000000,0.013184,0.239891,0.000001
2022-01-22_17:08:46,rpi,../automation/jobs/rpi/default.yaml,/data/data_small/,MpiViSchema01,8,1,11675,11425,32376,253796,31476,32376,270,0.000000,0.013184,0.239891,0.000001
2022-01-22_17:11:37,rpi,../automation/jobs/rpi/default.yaml,/data/data_small/,MpiViSchema01,8,1,12497,12255,32256,254300,31628,32256,270,0.000000,0.013184,0.239891,0.000001
2022-01-22_17:14:29,rpi,../automation/jobs/rpi/default.yaml,/data/data_small/,MpiViSchema01,8,1,12433,12184,32460,254160,31376,32460,270,0.000000,0.013184,0.239891,0.000001
2022-01-22_17:17:21,rpi,../automation/jobs/rpi/default.yaml,/data/data_small/,MpiViSchema01,8,1,11944,11694,32484,254036,31500,32484,270,0.000000,0.013184,0.239891,0.000001
