datetime,target,configuration,data_set,schema,world_size,com_interval,runtime_ms,runtime_vi_ms,rss_max_rank0_kb,rss_sum_all_kb,rss_min_all_kb,rss_max_all_kb,steps_total,eps_global,jdiff_maxnorm,jdiff_l2norm,jdiff_mse
2022-01-22_03:43:11,hpcclassa,../automation/jobs/hpcclassa/default.yaml,/data/data_small/,MpiViSchema01,10,1,23186,22802,33848,330312,32888,33848,270,0.000000,0.024414,0.494793,0.000002
2022-01-22_03:43:35,hpcclassa,../automation/jobs/hpcclassa/default.yaml,/data/data_small/,MpiViSchema01,10,1,22817,22397,33864,330532,32800,33864,270,0.000000,0.024414,0.494793,0.000002
2022-01-22_03:46:13,hpcclassa,../automation/jobs/hpcclassa/default.yaml,/data/data_small/,MpiViSchema01,10,1,23392,23018,33844,329960,32816,33844,270,0.000000,0.024414,0.494793,0.000002
2022-01-22_03:46:37,hpcclassa,../automation/jobs/hpcclassa/default.yaml,/data/data_small/,MpiViSchema01,10,1,23283,22908,33828,330092,32632,33828,270,0.000000,0.024414,0.494793,0.000002
2022-01-22_04:29:12,hpcclassa,../automation/jobs/hpcclassa/default.yaml,/data/data_small/,MpiViSchema01,10,1,20240,19851,33972,330208,32812,33972,270,0.000000,0.024414,0.494793,0.000002
2022-01-22_04:29:33,hpcclassa,../automation/jobs/hpcclassa/default.yaml,/data/data_small/,MpiViSchema01,10,1,21171,20827,33976,329748,32664,33976,270,0.000000,0.024414,0.494793,0.000002
2022-01-22_04:31:29,hpcclassa,../automation/jobs/hpcclassa/default.yaml,/data/data_small/,MpiViSchema01,10,1,22419,22038,33892,330088,32752,33892,270,0.000000,0.024414,0.494793,0.000002
2022-01-22_04:31:52,hpcclassa,../automation/jobs/hpcclassa/default.yaml,/data/data_small/,MpiViSchema01,10,1,21447,21080,33852,330140,32812,33852,270,0.000000,0.024414,0.494793,0.000002
2022-01-22_04:32:15,hpcclassa,../automation/jobs/hpcclassa/default.yaml,/data/data_small/,MpiViSchema01,10,1,20522,20077,33936,329752,32760,33936,270,0.000000,0.024414,0.494793,0.000002
2022-01-22_04:32:36,hpcclassa,../automation/jobs/hpcclassa/default.yaml,/data/data_small/,MpiViSchema01,10,1,21972,21525,33960,330328,32772,33960,270,0.000000,0.024414,0.494793,0.000002
2022-01-22_04:32:59,hpcclassa,../automation/jobs/hpcclassa/default.yaml,/data/data_small/,MpiViSchema01,10,1,21699,21312,33788,329780,32792,33788,270,0.000000,0.024414,0.494793,0.000002
2022-01-22_04:52:32,hpcclassa,../automation/jobs/hpcclassa/default.yaml,/data/data_small/,MpiViSchema01,10,1,19685,19205,33756,329244,32588,33756,270,0.000000,0.024414,0.494793,0.000002
2022-01-22_04:52:53,hpcclassa,../automation/jobs/hpcclassa/default.yaml,/data/data_small/,MpiViSchema01,10,1,22434,22087,33564,329716,32784,33564,270,0.000000,0.024414,0.494793,0.000002
2022-01-22_04:53:17,hpcclassa,../automation/jobs/hpcclassa/default.yaml,/data/data_small/,MpiViSchema01,10,1,20670,20342,33996,330216,32648,33996,270,0.000000,0.024414,0.494793,0.000002
2022-01-22_04:53:38,hpcclassa,../automation/jobs/hpcclassa/default.yaml,/data/data_small/,MpiViSchema01,10,1,21858,21472,33876,330216,32720,33876,270,0.000000,0.024414,0.494793,0.000002
2022-01-22_04:54:01,hpcclassa,../automation/jobs/hpcclassa/default.yaml,/data/data_small/,MpiViSchema01,10,1,20803,20405,33572,329568,32724,33572,270,0.000000,0.024414,0.494793,0.000002
