datetime,target,configuration,data_set,schema,world_size,com_interval,runtime_ms,runtime_vi_ms,rss_max_rank0_kb,rss_sum_all_kb,rss_min_all_kb,rss_max_all_kb,steps_total,eps_global,jdiff_maxnorm,jdiff_l2norm,jdiff_mse
2022-01-22_03:39:15,hpcclassb,../automation/jobs/hpcclassb/default.yaml,/data/data_small/,MpiViSchema01,10,1,3928,3653,33892,329284,32636,33892,265,0.000000,0.037109,0.996403,0.000010
2022-01-22_03:39:20,hpcclassb,../automation/jobs/hpcclassb/default.yaml,/data/data_small/,MpiViSchema01,10,1,3848,3569,34080,328976,32592,34080,265,0.000000,0.037109,0.996403,0.000010
2022-01-22_03:49:09,hpcclassb,../automation/jobs/hpcclassb/default.yaml,/data/data_small/,MpiViSchema01,10,1,3695,3387,33864,329088,32580,33864,265,0.000000,0.037109,0.996403,0.000010
2022-01-22_03:49:14,hpcclassb,../automation/jobs/hpcclassb/default.yaml,/data/data_small/,MpiViSchema01,10,1,3662,3386,33844,329412,32640,33844,265,0.000000,0.037109,0.996403,0.000010
2022-01-22_03:54:49,hpcclassb,../automation/jobs/hpcclassb/default.yaml,/data/data_small/,MpiViSchema01,10,1,3743,3467,33596,328980,32700,33596,265,0.000000,0.037109,0.996403,0.000010
2022-01-22_03:54:54,hpcclassb,../automation/jobs/hpcclassb/default.yaml,/data/data_small/,MpiViSchema01,10,1,3620,3345,33312,328796,32600,33312,265,0.000000,0.037109,0.996403,0.000010
2022-01-22_03:59:12,hpcclassb,../automation/jobs/hpcclassb/default.yaml,/data/data_small/,MpiViSchema01,10,1,3727,3446,33676,329480,32536,33676,265,0.000000,0.037109,0.996403,0.000010
2022-01-22_03:59:17,hpcclassb,../automation/jobs/hpcclassb/default.yaml,/data/data_small/,MpiViSchema01,10,1,3657,3385,33820,329764,32728,33820,265,0.000000,0.037109,0.996403,0.000010
2022-01-22_04:02:25,hpcclassb,../automation/jobs/hpcclassb/default.yaml,/data/data_small/,MpiViSchema01,10,1,8543,8218,33932,330532,32848,33932,265,0.000000,0.037109,0.996403,0.000010
2022-01-22_04:02:34,hpcclassb,../automation/jobs/hpcclassb/default.yaml,/data/data_small/,MpiViSchema01,10,1,6933,6656,33940,330364,32776,33940,265,0.000000,0.037109,0.996403,0.000010
