datetime,target,configuration,data_set,schema,world_size,com_intervall,runtime_ms,runtime_vi_ms,rss_max_rank0_kb,rss_sum_all_kb,rss_min_all_kb,rss_max_all_kb,steps_total,eps_global,jdiff_maxnorm,jdiff_l2norm,jdiff_mse
2022-01-22_03:41:49,nuc,../automation/jobs/nuc/default.yaml,/data/data_small/,MpiViSchema01,4,1,7911,5636,33544,133724,33064,33604,264,0.000000,0.003906,0.177200,0.000000
2022-01-22_03:41:58,nuc,../automation/jobs/nuc/default.yaml,/data/data_small/,MpiViSchema01,4,1,7890,5603,33484,133596,33008,33644,264,0.000000,0.003906,0.177200,0.000000
2022-01-22_03:45:21,nuc,../automation/jobs/nuc/default.yaml,/data/data_small/,MpiViSchema01,4,1,7922,5641,33600,133684,33088,33644,264,0.000000,0.003906,0.177200,0.000000
2022-01-22_03:45:30,nuc,../automation/jobs/nuc/default.yaml,/data/data_small/,MpiViSchema01,4,1,7923,5617,33772,133808,33072,33772,264,0.000000,0.003906,0.177200,0.000000
2022-01-22_03:51:55,nuc,../automation/jobs/nuc/default.yaml,/data/data_small/,MpiViSchema01,4,1,7755,5487,33116,133052,33092,33572,264,0.000000,0.003906,0.177200,0.000000
2022-01-22_03:52:04,nuc,../automation/jobs/nuc/default.yaml,/data/data_small/,MpiViSchema01,4,1,7827,5507,33444,133672,33224,33504,264,0.000000,0.003906,0.177200,0.000000
2022-01-22_04:04:05,nuc,../automation/jobs/nuc/default.yaml,/data/data_small/,MpiViSchema01,4,1,7942,5667,33436,133572,32984,33660,264,0.000000,0.003906,0.177200,0.000000
2022-01-22_04:04:14,nuc,../automation/jobs/nuc/default.yaml,/data/data_small/,MpiViSchema01,4,1,7749,5474,33120,133040,33068,33524,264,0.000000,0.003906,0.177200,0.000000
2022-01-22_04:06:56,nuc,../automation/jobs/nuc/default.yaml,/data/data_small/,MpiViSchema01,4,1,7545,5243,33184,133336,33088,33616,264,0.000000,0.003906,0.177200,0.000000
2022-01-22_04:14:07,nuc,../automation/jobs/nuc/default.yaml,/data/data_small/,MpiViSchema01,4,1,7930,5665,33588,133864,33100,33636,264,0.000000,0.003906,0.177200,0.000000
2022-01-22_04:21:36,nuc,../automation/jobs/nuc/default.yaml,/data/data_small/,MpiViSchema01,4,1,7711,5438,33152,133200,32948,33580,264,0.000000,0.003906,0.177200,0.000000
2022-01-22_04:23:14,nuc,../automation/jobs/nuc/default.yaml,/data/data_small/,MpiViSchema01,4,1,7867,5565,33720,133636,33144,33720,264,0.000000,0.003906,0.177200,0.000000
2022-01-22_04:27:58,nuc,../automation/jobs/nuc/default.yaml,/data/data_small/,MpiViSchema01,4,1,7976,5690,33156,133000,32872,33536,264,0.000000,0.003906,0.177200,0.000000
2022-01-22_04:30:31,nuc,../automation/jobs/nuc/default.yaml,/data/data_small/,MpiViSchema01,4,1,7938,5644,33444,133792,33184,33616,264,0.000000,0.003906,0.177200,0.000000
2022-01-22_04:30:40,nuc,../automation/jobs/nuc/default.yaml,/data/data_small/,MpiViSchema01,4,1,7846,5548,33324,133560,33176,33660,264,0.000000,0.003906,0.177200,0.000000
2022-01-22_04:30:55,nuc,../automation/jobs/nuc/default.yaml,/data/data_small/,MpiViSchema01,4,1,7505,5241,33728,133800,33068,33728,264,0.000000,0.003906,0.177200,0.000000
2022-01-22_04:31:03,nuc,../automation/jobs/nuc/default.yaml,/data/data_small/,MpiViSchema01,4,1,7774,5486,33244,133004,33072,33376,264,0.000000,0.003906,0.177200,0.000000
2022-01-22_04:31:17,nuc,../automation/jobs/nuc/default.yaml,/data/data_small/,MpiViSchema01,4,1,7898,5614,33592,133688,33208,33592,264,0.000000,0.003906,0.177200,0.000000
2022-01-22_04:51:36,nuc,../automation/jobs/nuc/default.yaml,/data/data_small/,MpiViSchema01,4,1,7904,5621,33436,133396,32940,33584,264,0.000000,0.003906,0.177200,0.000000
2022-01-22_04:51:44,nuc,../automation/jobs/nuc/default.yaml,/data/data_small/,MpiViSchema01,4,1,7935,5653,33500,133684,33064,33640,264,0.000000,0.003906,0.177200,0.000000
2022-01-22_04:51:59,nuc,../automation/jobs/nuc/default.yaml,/data/data_small/,MpiViSchema01,4,1,7885,5623,33548,133712,33084,33568,264,0.000000,0.003906,0.177200,0.000000
2022-01-22_04:52:08,nuc,../automation/jobs/nuc/default.yaml,/data/data_small/,MpiViSchema01,4,1,7724,5427,33320,133320,32936,33540,264,0.000000,0.003906,0.177200,0.000000
2022-01-22_04:52:22,nuc,../automation/jobs/nuc/default.yaml,/data/data_small/,MpiViSchema01,4,1,7501,5225,33568,133704,33092,33608,264,0.000000,0.003906,0.177200,0.000000
