datetime,target,configuration,data_set,schema,world_size,com_interval,runtime_ms,runtime_vi_ms,rss_max_rank0_kb,rss_sum_all_kb,rss_min_all_kb,rss_max_all_kb,steps_total,eps_global,jdiff_maxnorm,jdiff_l2norm,jdiff_mse
2022-01-22_02:49:51,hpcclassb,../automation/jobs/hpcclassb/default.yaml,/data/data_small/,MpiViSchema01,20,1,10313,9892,34372,660256,32660,34372,265,0.000000,0.037109,0.996403,0.000010
2022-01-22_02:50:02,hpcclassb,../automation/jobs/hpcclassb/default.yaml,/data/data_small/,MpiViSchema01,20,1,6754,6450,34360,660676,32676,34360,265,0.000000,0.037109,0.996403,0.000010
2022-01-22_02:53:24,hpcclassb,../automation/jobs/hpcclassb/default.yaml,/data/data_small/,MpiViSchema01,20,1,3272,2962,34008,659660,32776,34008,265,0.000000,0.037109,0.996403,0.000010
2022-01-22_02:53:29,hpcclassb,../automation/jobs/hpcclassb/default.yaml,/data/data_small/,MpiViSchema01,20,1,3583,3279,34352,660548,32692,34352,265,0.000000,0.037109,0.996403,0.000010
2022-01-22_02:54:40,hpcclassb,../automation/jobs/hpcclassb/default.yaml,/data/data_small/,MpiViSchema01,20,1,3414,3142,34584,661736,32796,34584,265,0.000000,0.037109,0.996403,0.000010
2022-01-22_02:54:45,hpcclassb,../automation/jobs/hpcclassb/default.yaml,/data/data_small/,MpiViSchema01,20,1,3539,3261,34436,659956,32680,34436,265,0.000000,0.037109,0.996403,0.000010
2022-01-22_03:18:28,hpcclassb,../automation/jobs/hpcclassb/default.yaml,/data/data_small/,MpiViSchema01,20,1,4083,3775,34324,660672,32760,34324,265,0.000000,0.037109,0.996403,0.000010
2022-01-22_03:18:33,hpcclassb,../automation/jobs/hpcclassb/default.yaml,/data/data_small/,MpiViSchema01,20,1,4043,3766,34364,660628,32688,34364,265,0.000000,0.037109,0.996403,0.000010
2022-01-22_03:22:27,hpcclassb,../automation/jobs/hpcclassb/default.yaml,/data/data_small/,MpiViSchema01,20,1,4135,3849,34164,660160,32536,34164,265,0.000000,0.037109,0.996403,0.000010
2022-01-22_03:22:33,hpcclassb,../automation/jobs/hpcclassb/default.yaml,/data/data_small/,MpiViSchema01,20,1,4100,3787,33768,660204,32564,33768,265,0.000000,0.037109,0.996403,0.000010
2022-01-22_03:28:21,hpcclassb,../automation/jobs/hpcclassb/default.yaml,/data/data_small/,MpiViSchema01,10,1,3948,3535,33904,328972,32532,33904,265,0.000000,0.037109,0.996403,0.000010
2022-01-22_03:28:26,hpcclassb,../automation/jobs/hpcclassb/default.yaml,/data/data_small/,MpiViSchema01,10,1,3782,3504,34140,329624,32632,34140,265,0.000000,0.037109,0.996403,0.000010
2022-01-22_03:35:29,hpcclassb,../automation/jobs/hpcclassb/default.yaml,/data/data_small/,MpiViSchema01,10,1,3781,3505,33804,329508,32664,33804,265,0.000000,0.037109,0.996403,0.000010
2022-01-22_03:35:34,hpcclassb,../automation/jobs/hpcclassb/default.yaml,/data/data_small/,MpiViSchema01,10,1,3706,3430,33876,329332,32660,33876,265,0.000000,0.037109,0.996403,0.000010
