datetime,target,configuration,data_set,schema,world_size,com_interval,runtime_ms,runtime_vi_ms,rss_max_rank0_kb,rss_sum_all_kb,rss_min_all_kb,rss_max_all_kb,steps_total,eps_global,jdiff_maxnorm,jdiff_l2norm,jdiff_mse
2022-01-23_06:19:30,hpcclassb,../automation/jobs/gen/ds/debug/0_MpiViSchema01_1.yaml,/data/data_debug/,MpiViSchema01,2,1,269,10,13932,27756,13824,13932,1317,0.000000,0.096680,0.552352,0.002441
2022-01-23_06:19:31,hpcclassb,../automation/jobs/gen/ds/debug/0_MpiViSchema01_1.yaml,/data/data_debug/,MpiViSchema01,2,1,250,9,14008,27984,13976,14008,1300,0.000000,0.000091,0.000091,0.000000
2022-01-23_06:19:33,hpcclassb,../automation/jobs/gen/ds/debug/0_MpiViSchema01_1.yaml,/data/data_debug/,MpiViSchema01,2,1,248,2,13888,27892,13888,14004,293,0.000000,0.000092,0.000395,0.000000
2022-01-23_06:19:35,hpcclassb,../automation/jobs/gen/ds/debug/10_MpiViSchema02_8.yaml,/data/data_debug/,MpiViSchema02,2,1,256,7,13956,28024,13956,14068,1074,0.000000,0.096680,0.346600,0.000961
2022-01-23_06:19:37,hpcclassb,../automation/jobs/gen/ds/debug/10_MpiViSchema02_8.yaml,/data/data_debug/,MpiViSchema02,2,1,262,16,13708,27672,13708,13964,1895,0.000000,0.096680,0.582195,0.002712
2022-01-23_06:19:38,hpcclassb,../automation/jobs/gen/ds/debug/10_MpiViSchema02_8.yaml,/data/data_debug/,MpiViSchema02,2,1,259,12,14064,28232,14064,14168,1508,0.000000,0.096680,0.440803,0.001554
2022-01-23_06:19:40,hpcclassb,../automation/jobs/gen/ds/debug/11_MpiViSchema03_8.yaml,/data/data_debug/,MpiViSchema03,2,1,257,12,13912,28112,13912,14200,1478,0.000000,0.096680,0.346600,0.000961
2022-01-23_06:19:42,hpcclassb,../automation/jobs/gen/ds/debug/11_MpiViSchema03_8.yaml,/data/data_debug/,MpiViSchema03,2,1,246,3,13920,27804,13884,13920,393,0.000000,0.000000,0.000000,0.000000
2022-01-23_06:19:44,hpcclassb,../automation/jobs/gen/ds/debug/11_MpiViSchema03_8.yaml,/data/data_debug/,MpiViSchema03,2,1,252,3,13972,28000,13972,14028,246,0.000000,0.001953,0.003906,0.000000
2022-01-23_06:19:46,hpcclassb,../automation/jobs/gen/ds/debug/12_MpiViSchema01_16.yaml,/data/data_debug/,MpiViSchema01,2,1,252,6,13888,28064,13888,14176,822,0.000000,0.096680,0.440803,0.001554
2022-01-23_06:19:47,hpcclassb,../automation/jobs/gen/ds/debug/12_MpiViSchema01_16.yaml,/data/data_debug/,MpiViSchema01,2,1,252,11,14160,28064,13904,14160,1405,0.000000,0.096680,0.582195,0.002712
2022-01-23_06:19:49,hpcclassb,../automation/jobs/gen/ds/debug/12_MpiViSchema01_16.yaml,/data/data_debug/,MpiViSchema01,2,1,260,14,14180,28312,14132,14180,1638,0.000000,0.000092,0.000255,0.000000
2022-01-23_06:19:51,hpcclassb,../automation/jobs/gen/ds/debug/13_MpiViSchema02_16.yaml,/data/data_debug/,MpiViSchema02,2,1,256,11,13972,28080,13972,14108,1560,0.000000,0.000090,0.000090,0.000000
2022-01-23_06:19:52,hpcclassb,../automation/jobs/gen/ds/debug/13_MpiViSchema02_16.yaml,/data/data_debug/,MpiViSchema02,2,1,253,6,13900,27804,13900,13904,907,0.000000,0.096680,0.346600,0.000961
2022-01-23_06:19:54,hpcclassb,../automation/jobs/gen/ds/debug/13_MpiViSchema02_16.yaml,/data/data_debug/,MpiViSchema02,2,1,251,10,13908,27968,13908,14060,1134,0.000000,0.096680,0.440803,0.001554
2022-01-23_06:19:56,hpcclassb,../automation/jobs/gen/ds/debug/14_MpiViSchema03_16.yaml,/data/data_debug/,MpiViSchema03,2,1,247,5,13676,27828,13676,14152,584,0.000000,0.096680,0.440451,0.001552
2022-01-23_06:19:58,hpcclassb,../automation/jobs/gen/ds/debug/14_MpiViSchema03_16.yaml,/data/data_debug/,MpiViSchema03,2,1,259,13,13880,28044,13880,14164,1503,0.000000,0.000092,0.000257,0.000000
2022-01-23_06:19:59,hpcclassb,../automation/jobs/gen/ds/debug/14_MpiViSchema03_16.yaml,/data/data_debug/,MpiViSchema03,2,1,259,13,14112,28188,14076,14112,1489,0.000000,0.096680,0.628517,0.003160
2022-01-23_06:20:01,hpcclassb,../automation/jobs/gen/ds/debug/15_MpiViSchema01_32.yaml,/data/data_debug/,MpiViSchema01,2,1,256,8,13984,28136,13984,14152,1228,0.000000,0.000000,0.000000,0.000000
2022-01-23_06:20:03,hpcclassb,../automation/jobs/gen/ds/debug/15_MpiViSchema01_32.yaml,/data/data_debug/,MpiViSchema01,2,1,251,5,13960,28160,13960,14200,552,0.000000,0.096680,0.346600,0.000961
2022-01-23_06:20:05,hpcclassb,../automation/jobs/gen/ds/debug/15_MpiViSchema01_32.yaml,/data/data_debug/,MpiViSchema01,2,1,254,9,13984,27896,13912,13984,1307,0.000000,0.096680,0.552352,0.002441
2022-01-23_06:20:07,hpcclassb,../automation/jobs/gen/ds/debug/16_MpiViSchema02_32.yaml,/data/data_debug/,MpiViSchema02,2,1,263,14,14036,27820,13784,14036,1886,0.000000,0.096680,0.599985,0.002880
2022-01-23_06:20:08,hpcclassb,../automation/jobs/gen/ds/debug/16_MpiViSchema02_32.yaml,/data/data_debug/,MpiViSchema02,2,1,261,12,14068,27980,13912,14068,1307,0.000000,0.096680,0.552351,0.002441
2022-01-23_06:20:10,hpcclassb,../automation/jobs/gen/ds/debug/16_MpiViSchema02_32.yaml,/data/data_debug/,MpiViSchema02,2,1,250,2,13956,28048,13956,14092,246,0.000000,0.001953,0.003906,0.000000
2022-01-23_06:20:12,hpcclassb,../automation/jobs/gen/ds/debug/17_MpiViSchema03_32.yaml,/data/data_debug/,MpiViSchema03,2,1,266,18,13984,28080,13984,14096,1915,0.000000,0.000092,0.000258,0.000000
2022-01-23_06:20:13,hpcclassb,../automation/jobs/gen/ds/debug/17_MpiViSchema03_32.yaml,/data/data_debug/,MpiViSchema03,2,1,255,12,14196,28004,13808,14196,1313,0.000000,0.000090,0.000090,0.000000
2022-01-23_06:20:15,hpcclassb,../automation/jobs/gen/ds/debug/17_MpiViSchema03_32.yaml,/data/data_debug/,MpiViSchema03,2,1,250,9,14132,28096,13964,14132,878,0.000000,0.096680,0.346600,0.000961
2022-01-23_06:20:17,hpcclassb,../automation/jobs/gen/ds/debug/18_MpiViSchema01_64.yaml,/data/data_debug/,MpiViSchema01,2,1,245,6,14044,28152,14044,14108,856,0.000000,0.000092,0.000254,0.000000
