datetime,target,configuration,data_set,schema,world_size,com_interval,runtime_ms,runtime_vi_ms,rss_max_rank0_kb,rss_sum_all_kb,rss_min_all_kb,rss_max_all_kb,steps_total,eps_global,jdiff_maxnorm,jdiff_l2norm,jdiff_mse
2022-01-23_04:36:27,local,../automation/jobs/gen/ds/debug/0_MpiViSchema01_1.yaml,/data/data_debug/,MpiViSchema01,1,1,288,18,14764,14764,14764,14764,903,0.000000,0.096680,0.216182,0.000374
2022-01-23_04:36:28,local,../automation/jobs/gen/ds/debug/0_MpiViSchema01_1.yaml,/data/data_debug/,MpiViSchema01,1,1,293,41,14588,14588,14588,14588,1874,0.000000,0.096680,0.216183,0.000374
2022-01-23_04:36:29,local,../automation/jobs/gen/ds/debug/0_MpiViSchema01_1.yaml,/data/data_debug/,MpiViSchema01,1,1,252,8,14648,14648,14648,14648,981,0.000000,0.000000,0.000000,0.000000
2022-01-23_04:36:30,local,../automation/jobs/gen/ds/debug/10_MpiViSchema02_8.yaml,/data/data_debug/,MpiViSchema02,1,1,270,22,14728,14728,14728,14728,941,0.000000,0.000000,0.000000,0.000000
2022-01-23_04:36:31,local,../automation/jobs/gen/ds/debug/10_MpiViSchema02_8.yaml,/data/data_debug/,MpiViSchema02,1,1,297,35,14660,14660,14660,14660,1419,0.000000,0.096680,0.635909,0.003235
2022-01-23_04:36:32,local,../automation/jobs/gen/ds/debug/10_MpiViSchema02_8.yaml,/data/data_debug/,MpiViSchema02,1,1,287,27,14272,14272,14272,14272,1081,0.000000,0.000000,0.000000,0.000000
2022-01-23_04:36:34,local,../automation/jobs/gen/ds/debug/11_MpiViSchema03_8.yaml,/data/data_debug/,MpiViSchema03,1,1,278,26,14716,14716,14716,14716,914,0.000000,0.000000,0.000000,0.000000
2022-01-23_04:36:35,local,../automation/jobs/gen/ds/debug/11_MpiViSchema03_8.yaml,/data/data_debug/,MpiViSchema03,1,1,279,25,14268,14268,14268,14268,674,0.000000,0.000000,0.000000,0.000000
2022-01-23_04:36:36,local,../automation/jobs/gen/ds/debug/11_MpiViSchema03_8.yaml,/data/data_debug/,MpiViSchema03,1,1,259,8,14768,14768,14768,14768,946,0.000000,0.000000,0.000000,0.000000
2022-01-23_04:36:37,local,../automation/jobs/gen/ds/debug/12_MpiViSchema01_16.yaml,/data/data_debug/,MpiViSchema01,1,1,260,26,14664,14664,14664,14664,969,0.000000,0.096680,0.216182,0.000374
2022-01-23_04:36:38,local,../automation/jobs/gen/ds/debug/12_MpiViSchema01_16.yaml,/data/data_debug/,MpiViSchema01,1,1,252,7,14724,14724,14724,14724,771,0.000000,0.000000,0.000000,0.000000
2022-01-23_04:36:39,local,../automation/jobs/gen/ds/debug/12_MpiViSchema01_16.yaml,/data/data_debug/,MpiViSchema01,1,1,230,11,14812,14812,14812,14812,858,0.000000,0.000000,0.000000,0.000000
2022-01-23_04:36:44,local,../automation/jobs/gen/ds/debug/13_MpiViSchema02_16.yaml,/data/data_debug/,MpiViSchema02,1,1,264,6,14540,14540,14540,14540,678,0.000000,0.000000,0.000000,0.000000
2022-01-23_04:36:48,local,../automation/jobs/gen/ds/debug/13_MpiViSchema02_16.yaml,/data/data_debug/,MpiViSchema02,1,1,277,10,14632,14632,14632,14632,1026,0.000000,0.000000,0.000000,0.000000
2022-01-23_04:36:49,local,../automation/jobs/gen/ds/debug/13_MpiViSchema02_16.yaml,/data/data_debug/,MpiViSchema02,1,1,264,21,14704,14704,14704,14704,806,0.000000,0.000000,0.000000,0.000000
2022-01-23_04:36:50,local,../automation/jobs/gen/ds/debug/14_MpiViSchema03_16.yaml,/data/data_debug/,MpiViSchema03,1,1,258,28,14792,14792,14792,14792,972,0.000000,0.096680,0.216182,0.000374
2022-01-23_04:36:51,local,../automation/jobs/gen/ds/debug/14_MpiViSchema03_16.yaml,/data/data_debug/,MpiViSchema03,1,1,281,25,14528,14528,14528,14528,765,0.000000,0.000000,0.000000,0.000000
2022-01-23_04:36:52,local,../automation/jobs/gen/ds/debug/14_MpiViSchema03_16.yaml,/data/data_debug/,MpiViSchema03,1,1,265,22,14404,14404,14404,14404,915,0.000000,0.096680,0.216182,0.000374
2022-01-23_04:36:53,local,../automation/jobs/gen/ds/debug/15_MpiViSchema01_32.yaml,/data/data_debug/,MpiViSchema01,1,1,276,28,14820,14820,14820,14820,938,0.000000,0.096680,0.635909,0.003235
2022-01-23_04:36:55,local,../automation/jobs/gen/ds/debug/15_MpiViSchema01_32.yaml,/data/data_debug/,MpiViSchema01,1,1,255,11,14800,14800,14800,14800,1252,0.000000,0.096680,0.216183,0.000374
2022-01-23_04:36:56,local,../automation/jobs/gen/ds/debug/15_MpiViSchema01_32.yaml,/data/data_debug/,MpiViSchema01,1,1,230,11,14476,14476,14476,14476,882,0.000000,0.096680,0.216183,0.000374
2022-01-23_04:36:57,local,../automation/jobs/gen/ds/debug/16_MpiViSchema02_32.yaml,/data/data_debug/,MpiViSchema02,1,1,228,9,14516,14516,14516,14516,1022,0.000000,0.000000,0.000000,0.000000
2022-01-23_04:36:58,local,../automation/jobs/gen/ds/debug/16_MpiViSchema02_32.yaml,/data/data_debug/,MpiViSchema02,1,1,257,27,14472,14472,14472,14472,937,0.000000,0.096680,0.635909,0.003235
2022-01-23_04:36:59,local,../automation/jobs/gen/ds/debug/16_MpiViSchema02_32.yaml,/data/data_debug/,MpiViSchema02,1,1,255,24,14668,14668,14668,14668,772,0.000000,0.000000,0.000000,0.000000
2022-01-23_04:37:03,local,../automation/jobs/gen/ds/debug/17_MpiViSchema03_32.yaml,/data/data_debug/,MpiViSchema03,1,1,283,27,14516,14516,14516,14516,897,0.000000,0.000000,0.000000,0.000000
2022-01-23_04:37:08,local,../automation/jobs/gen/ds/debug/17_MpiViSchema03_32.yaml,/data/data_debug/,MpiViSchema03,1,1,290,28,14696,14696,14696,14696,955,0.000000,0.096680,0.216183,0.000374
2022-01-23_04:37:09,local,../automation/jobs/gen/ds/debug/17_MpiViSchema03_32.yaml,/data/data_debug/,MpiViSchema03,1,1,304,40,14280,14280,14280,14280,1831,0.000000,0.096680,0.216183,0.000374
2022-01-23_04:37:10,local,../automation/jobs/gen/ds/debug/18_MpiViSchema01_64.yaml,/data/data_debug/,MpiViSchema01,1,1,278,25,14556,14556,14556,14556,793,0.000000,0.096680,0.635909,0.003235
2022-01-23_04:37:11,local,../automation/jobs/gen/ds/debug/18_MpiViSchema01_64.yaml,/data/data_debug/,MpiViSchema01,1,1,249,7,14748,14748,14748,14748,771,0.000000,0.000000,0.000000,0.000000
2022-01-23_04:37:12,local,../automation/jobs/gen/ds/debug/18_MpiViSchema01_64.yaml,/data/data_debug/,MpiViSchema01,1,1,285,26,14788,14788,14788,14788,793,0.000000,0.000000,0.000000,0.000000
2022-01-23_04:37:13,local,../automation/jobs/gen/ds/debug/19_MpiViSchema02_64.yaml,/data/data_debug/,MpiViSchema02,1,1,265,13,14664,14664,14664,14664,1389,0.000000,0.096680,0.635909,0.003235
2022-01-23_04:37:15,local,../automation/jobs/gen/ds/debug/19_MpiViSchema02_64.yaml,/data/data_debug/,MpiViSchema02,1,1,252,8,14644,14644,14644,14644,869,0.000000,0.096680,0.216182,0.000374
2022-01-23_04:37:16,local,../automation/jobs/gen/ds/debug/19_MpiViSchema02_64.yaml,/data/data_debug/,MpiViSchema02,1,1,259,28,14544,14544,14544,14544,978,0.000000,0.096680,0.216182,0.000374
2022-01-23_04:37:17,local,../automation/jobs/gen/ds/debug/1_MpiViSchema02_1.yaml,/data/data_debug/,MpiViSchema02,1,1,266,35,14588,14588,14588,14588,1619,0.000000,0.096680,0.216183,0.000374
2022-01-23_04:37:18,local,../automation/jobs/gen/ds/debug/1_MpiViSchema02_1.yaml,/data/data_debug/,MpiViSchema02,1,1,266,35,14704,14704,14704,14704,1438,0.000000,0.096680,0.635909,0.003235
2022-01-23_04:37:19,local,../automation/jobs/gen/ds/debug/1_MpiViSchema02_1.yaml,/data/data_debug/,MpiViSchema02,1,1,232,12,14596,14596,14596,14596,959,0.000000,0.000000,0.000000,0.000000
2022-01-23_04:37:23,local,../automation/jobs/gen/ds/debug/20_MpiViSchema03_64.yaml,/data/data_debug/,MpiViSchema03,1,1,287,29,14612,14612,14612,14612,1013,0.000000,0.000000,0.000000,0.000000
2022-01-23_04:37:28,local,../automation/jobs/gen/ds/debug/20_MpiViSchema03_64.yaml,/data/data_debug/,MpiViSchema03,1,1,292,35,14628,14628,14628,14628,1494,0.000000,0.096680,0.216183,0.000374
2022-01-23_04:37:29,local,../automation/jobs/gen/ds/debug/20_MpiViSchema03_64.yaml,/data/data_debug/,MpiViSchema03,1,1,279,25,14832,14832,14832,14832,779,0.000000,0.000000,0.000000,0.000000
