datetime,target,configuration,data_set,schema,world_size,com_interval,runtime_ms,runtime_vi_ms,rss_max_rank0_kb,rss_sum_all_kb,rss_min_all_kb,rss_max_all_kb,steps_total,eps_global,jdiff_maxnorm,jdiff_l2norm,jdiff_mse
2022-01-23_04:34:44,nuc,../automation/jobs/nuc/nuc1.yaml,/data/data_small/,MpiViSchema01,3,1,7506,5242,33528,99516,32804,33528,261,0.000000,0.003906,0.177200,0.000000
2022-01-23_04:34:52,nuc,../automation/jobs/nuc/nuc2.yaml,/data/data_small/,MpiViSchema02,3,1,7761,5361,45236,105500,28408,45236,261,0.000000,0.003906,0.177200,0.000000
2022-01-23_04:35:06,nuc,../automation/jobs/nuc/nuc3.yaml,/data/data_small/,MpiViSchema03,3,1,7983,5710,33584,99496,32836,33584,261,0.000000,0.003906,0.177200,0.000000
2022-01-23_06:53:53,nuc,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,2,1,8452,6039,46724,81420,34696,46724,256,0.000000,0.003906,0.177200,0.000000
2022-01-23_06:54:02,nuc,../automation/jobs/gen/ds/small/10_MpiViSchema02_2.yaml,/data/data_small/,MpiViSchema02,2,1,8423,6031,46728,81144,34416,46728,256,0.000000,0.003906,0.177200,0.000000
2022-01-23_06:54:17,nuc,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,2,1,9395,7109,33092,65972,32880,33092,256,0.000000,0.003906,0.177200,0.000000
2022-01-23_06:54:28,nuc,../automation/jobs/gen/ds/small/11_MpiViSchema03_2.yaml,/data/data_small/,MpiViSchema03,2,1,9433,7153,32676,65544,32676,32868,256,0.000000,0.003906,0.177200,0.000000
2022-01-23_06:54:44,nuc,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,2,1,8323,6033,33404,66360,32956,33404,256,0.000000,0.003906,0.177200,0.000000
2022-01-23_06:54:53,nuc,../automation/jobs/gen/ds/small/12_MpiViSchema01_4.yaml,/data/data_small/,MpiViSchema01,2,1,8312,6045,33044,66032,32988,33044,256,0.000000,0.003906,0.177200,0.000000
2022-01-23_06:55:08,nuc,../automation/jobs/gen/ds/small/13_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,2,1,8422,6028,46492,81480,34988,46492,256,0.000000,0.003906,0.177200,0.000000
2022-01-23_06:55:17,nuc,../automation/jobs/gen/ds/small/13_MpiViSchema02_4.yaml,/data/data_small/,MpiViSchema02,2,1,8434,6034,46572,81024,34452,46572,256,0.000000,0.003906,0.177200,0.000000
2022-01-23_06:55:32,nuc,../automation/jobs/gen/ds/small/14_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,2,1,9446,7142,32948,65960,32948,33012,256,0.000000,0.003906,0.177200,0.000000
2022-01-23_06:55:43,nuc,../automation/jobs/gen/ds/small/14_MpiViSchema03_4.yaml,/data/data_small/,MpiViSchema03,2,1,9417,7125,33036,65876,32840,33036,256,0.000000,0.003906,0.177200,0.000000
2022-01-23_06:55:59,nuc,../automation/jobs/gen/ds/small/15_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,2,1,8336,6031,33292,66216,32924,33292,256,0.000000,0.003906,0.177200,0.000000
2022-01-23_06:56:08,nuc,../automation/jobs/gen/ds/small/15_MpiViSchema01_8.yaml,/data/data_small/,MpiViSchema01,2,1,8284,6015,33184,66148,32964,33184,256,0.000000,0.003906,0.177200,0.000000
2022-01-23_06:56:23,nuc,../automation/jobs/gen/ds/small/16_MpiViSchema02_8.yaml,/data/data_small/,MpiViSchema02,2,1,8443,6034,46788,81212,34424,46788,256,0.000000,0.003906,0.177200,0.000000
2022-01-23_06:56:32,nuc,../automation/jobs/gen/ds/small/16_MpiViSchema02_8.yaml,/data/data_small/,MpiViSchema02,2,1,8415,6030,46752,81420,34668,46752,256,0.000000,0.003906,0.177200,0.000000
2022-01-23_06:56:48,nuc,../automation/jobs/gen/ds/small/17_MpiViSchema03_8.yaml,/data/data_small/,MpiViSchema03,2,1,9424,7133,32784,65736,32784,32952,256,0.000000,0.003906,0.177200,0.000000
2022-01-23_06:56:58,nuc,../automation/jobs/gen/ds/small/17_MpiViSchema03_8.yaml,/data/data_small/,MpiViSchema03,2,1,9424,7128,33048,65976,32928,33048,256,0.000000,0.003906,0.177200,0.000000
2022-01-23_06:57:14,nuc,../automation/jobs/gen/ds/small/18_MpiViSchema01_16.yaml,/data/data_small/,MpiViSchema01,2,1,8299,6020,33388,66176,32788,33388,256,0.000000,0.003906,0.177200,0.000000
2022-01-23_06:57:23,nuc,../automation/jobs/gen/ds/small/18_MpiViSchema01_16.yaml,/data/data_small/,MpiViSchema01,2,1,8273,6031,33352,66096,32744,33352,256,0.000000,0.003906,0.177200,0.000000
2022-01-23_06:57:38,nuc,../automation/jobs/gen/ds/small/19_MpiViSchema02_16.yaml,/data/data_small/,MpiViSchema02,2,1,8444,6053,46840,81516,34676,46840,256,0.000000,0.003906,0.177200,0.000000
2022-01-23_06:57:48,nuc,../automation/jobs/gen/ds/small/19_MpiViSchema02_16.yaml,/data/data_small/,MpiViSchema02,2,1,8444,6044,46724,81388,34664,46724,256,0.000000,0.003906,0.177200,0.000000
2022-01-23_06:58:03,nuc,../automation/jobs/gen/ds/small/20_MpiViSchema03_16.yaml,/data/data_small/,MpiViSchema03,2,1,9427,7145,33052,66036,32984,33052,256,0.000000,0.003906,0.177200,0.000000
2022-01-23_06:58:13,nuc,../automation/jobs/gen/ds/small/20_MpiViSchema03_16.yaml,/data/data_small/,MpiViSchema03,2,1,9439,7149,33228,66140,32912,33228,256,0.000000,0.003906,0.177200,0.000000
