datetime,target,configuration,data_set,schema,world_size,com_interval,runtime_ms,runtime_vi_ms,rss_max_rank0_kb,rss_sum_all_kb,rss_min_all_kb,rss_max_all_kb,steps_total,eps_global,jdiff_maxnorm,jdiff_l2norm,jdiff_mse
2022-01-25_02:40:30,nuc,../automation/jobs/gen/ds/small/45_MpiViSchema01_50.yaml,/data/data_small/,MpiViSchema01,4,50,23493,21188,33416,133280,33016,33504,3100,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:40:58,nuc,../automation/jobs/gen/ds/small/45_MpiViSchema01_50.yaml,/data/data_small/,MpiViSchema01,4,50,23550,21224,33444,133408,33144,33516,3100,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:41:28,nuc,../automation/jobs/gen/ds/small/45_MpiViSchema01_50.yaml,/data/data_small/,MpiViSchema01,4,50,23514,21237,33432,133064,33044,33516,3100,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:41:58,nuc,../automation/jobs/gen/ds/small/45_MpiViSchema01_50.yaml,/data/data_small/,MpiViSchema01,4,50,23481,21202,33484,133392,33108,33484,3100,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:46:47,nuc,../automation/jobs/gen/ds/small/45_MpiViSchema01_50.yaml,/data/data_small/,MpiViSchema01,2,50,24043,21745,33380,66216,32836,33380,2050,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:47:17,nuc,../automation/jobs/gen/ds/small/45_MpiViSchema01_50.yaml,/data/data_small/,MpiViSchema01,2,50,24017,21728,33408,66344,32936,33408,2050,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:47:48,nuc,../automation/jobs/gen/ds/small/45_MpiViSchema01_50.yaml,/data/data_small/,MpiViSchema01,2,50,24006,21729,33292,66196,32904,33292,2050,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:48:19,nuc,../automation/jobs/gen/ds/small/45_MpiViSchema01_50.yaml,/data/data_small/,MpiViSchema01,2,50,24531,22248,32964,65820,32856,32964,2050,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:48:50,nuc,../automation/jobs/gen/ds/small/45_MpiViSchema01_50.yaml,/data/data_small/,MpiViSchema01,2,50,24020,21749,33460,66396,32936,33460,2050,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:49:21,nuc,../automation/jobs/gen/ds/small/46_MpiViSchema02_30.yaml,/data/data_small/,MpiViSchema02,2,30,17169,14773,46844,81428,34584,46844,1260,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:49:45,nuc,../automation/jobs/gen/ds/small/46_MpiViSchema02_30.yaml,/data/data_small/,MpiViSchema02,2,30,17175,14773,46504,81444,34940,46504,1260,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:50:09,nuc,../automation/jobs/gen/ds/small/46_MpiViSchema02_30.yaml,/data/data_small/,MpiViSchema02,2,30,17189,14781,46788,81464,34676,46788,1260,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:50:33,nuc,../automation/jobs/gen/ds/small/46_MpiViSchema02_30.yaml,/data/data_small/,MpiViSchema02,2,30,17173,14766,46664,81344,34680,46664,1260,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:50:57,nuc,../automation/jobs/gen/ds/small/46_MpiViSchema02_30.yaml,/data/data_small/,MpiViSchema02,2,30,17155,14772,46892,81520,34628,46892,1260,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:51:21,nuc,../automation/jobs/gen/ds/small/46_MpiViSchema02_50.yaml,/data/data_small/,MpiViSchema02,2,50,24190,21775,46756,81140,34384,46756,2050,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:51:51,nuc,../automation/jobs/gen/ds/small/46_MpiViSchema02_50.yaml,/data/data_small/,MpiViSchema02,2,50,24174,21766,46816,81488,34672,46816,2050,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:52:22,nuc,../automation/jobs/gen/ds/small/46_MpiViSchema02_50.yaml,/data/data_small/,MpiViSchema02,2,50,24155,21759,46672,81376,34704,46672,2050,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:52:53,nuc,../automation/jobs/gen/ds/small/46_MpiViSchema02_50.yaml,/data/data_small/,MpiViSchema02,2,50,24163,21771,46784,81484,34700,46784,2050,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:53:24,nuc,../automation/jobs/gen/ds/small/46_MpiViSchema02_50.yaml,/data/data_small/,MpiViSchema02,2,50,24168,21767,46652,80996,34344,46652,2050,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:53:55,nuc,../automation/jobs/gen/ds/small/47_MpiViSchema03_30.yaml,/data/data_small/,MpiViSchema03,2,30,17259,14956,33096,66116,33020,33096,1260,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:54:17,nuc,../automation/jobs/gen/ds/small/47_MpiViSchema03_30.yaml,/data/data_small/,MpiViSchema03,2,30,17185,14915,33160,66056,32896,33160,1260,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:54:41,nuc,../automation/jobs/gen/ds/small/47_MpiViSchema03_30.yaml,/data/data_small/,MpiViSchema03,2,30,17189,14912,33056,65812,32756,33056,1260,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:55:05,nuc,../automation/jobs/gen/ds/small/47_MpiViSchema03_30.yaml,/data/data_small/,MpiViSchema03,2,30,17200,14917,32920,65760,32840,32920,1260,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:55:29,nuc,../automation/jobs/gen/ds/small/47_MpiViSchema03_30.yaml,/data/data_small/,MpiViSchema03,2,30,17184,14900,32964,65880,32916,32964,1260,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:55:53,nuc,../automation/jobs/gen/ds/small/47_MpiViSchema03_50.yaml,/data/data_small/,MpiViSchema03,2,50,24182,21899,33432,66352,32920,33432,2050,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:56:24,nuc,../automation/jobs/gen/ds/small/47_MpiViSchema03_50.yaml,/data/data_small/,MpiViSchema03,2,50,24189,21896,33056,65956,32900,33056,2050,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:56:55,nuc,../automation/jobs/gen/ds/small/47_MpiViSchema03_50.yaml,/data/data_small/,MpiViSchema03,2,50,24193,21918,33128,66040,32912,33128,2050,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:57:25,nuc,../automation/jobs/gen/ds/small/47_MpiViSchema03_50.yaml,/data/data_small/,MpiViSchema03,2,50,24200,21907,33176,66160,32984,33176,2050,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:57:56,nuc,../automation/jobs/gen/ds/small/47_MpiViSchema03_50.yaml,/data/data_small/,MpiViSchema03,2,50,24204,21923,33192,66068,32876,33192,2050,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:58:27,nuc,../automation/jobs/gen/ds/small/48_MpiViSchema01_52.yaml,/data/data_small/,MpiViSchema01,2,52,24321,22017,33304,66260,32956,33304,2080,0.000000,0.003906,0.177200,0.000000
2022-01-25_02:58:58,nuc,../automation/jobs/gen/ds/small/48_MpiViSchema01_52.yaml,/data/data_small/,MpiViSchema01,2,52,24269,21985,33368,66192,32824,33368,2080,0.000000,0.003906,0.177200,0.000000
